Frame,Cis count,Trans count
0,173,880
1,192,861
2,165,888
3,177,876
4,203,850
5,209,844
6,147,906
7,164,889
8,202,851
9,210,843
10,207,846
11,173,880
12,230,823
13,165,888
14,239,814
15,235,818
16,207,846
17,172,881
18,233,820
19,219,834
20,162,891
21,241,812
22,209,844
23,160,893
24,156,897
25,183,870
26,222,831
27,189,864
28,137,916
29,223,830
30,228,825
31,174,879
32,193,860
33,207,846
34,174,879
35,209,844
36,217,836
37,205,848
38,196,857
39,177,876
40,195,858
41,228,825
42,205,848
43,230,823
44,219,834
45,183,870
46,209,844
47,200,853
48,202,851
49,198,855
