plastic,time,index,aSurf[A^2],aVol[A^3]
N66,50,0,8712.8779247271104,38233.162746807997
N66,50,1,8742.7365058200085,38158.067744967098
N66,50,2,8913.3676600645158,38590.309051674769
N66,50,3,9149.7052169342369,38556.174775772706
N66,50,4,8599.8396695868505,38048.701489486361
N66,50,5,8991.8973097351591,38801.828680047744
N66,50,6,8627.8778541718711,38234.529928718446
N66,50,7,8987.5222318826618,38340.736970375670
N66,50,8,9108.2384668908635,38513.005164193215
N66,50,9,8876.6370757384575,38604.469318478274
N66,50,10,8885.0671588137684,38237.036332515447
N66,50,11,8823.0614603505728,38421.254756480732
N66,50,12,8702.6227416703186,38185.944037394016
N66,50,13,9505.4703356920927,39054.747102421825
N66,50,14,8719.6259042863821,38342.357131173521
N66,50,15,9300.0829696539859,38966.510750982554
N66,50,16,8892.4660080395297,38279.607290315638
N66,50,17,8775.1467862982699,38316.747942104979
N66,50,18,8811.3989289791261,38204.778803146844
N66,50,19,8830.7882444847619,38596.029542612363
N66,50,20,8670.4490494372785,38250.954654405781
N66,50,21,8759.3647618002888,38354.433461095701
N66,50,22,9327.4376296574828,38858.485417482043
N66,50,23,8472.8736540266527,38152.328382091779
N66,50,24,8838.7125034186229,38730.321211058472
N66,50,25,8997.3485135194442,38373.225696267204
N66,50,26,8817.1975769437031,38244.440093458506
N66,50,27,8651.1208257558665,38219.475876443219
N66,50,28,8866.2087855679474,38391.930612169948
N66,50,29,8750.7547358282372,38265.862005223113
N66,50,30,9172.4958447743629,38648.090738163926
N66,50,31,8794.2330450948175,38147.340954801533
N66,50,32,8659.8382177448511,38113.997851666994
N66,50,33,8774.0716640241662,38121.968088514353
N66,50,34,8980.7619716536847,38359.449657109624
N66,50,35,8959.4079807905546,38254.125167514881
N66,50,36,8780.7064309278103,38454.085300367005
N66,50,37,8882.3814504688035,38294.477721183481
N66,50,38,8914.1645079069731,38530.214488252095
N66,50,39,8811.7607862343466,38189.415554992011
N66,50,40,8759.4929377965855,38232.808548244502
N66,50,41,8897.4334380546079,38386.137853430162
N66,50,42,8762.5723952790431,38399.095898828775
N66,50,43,8634.0800266480001,38160.344592006179
N66,50,44,9076.9121596503119,38372.147279187317
N66,50,45,8807.4574212301395,38591.028268811169
N66,50,46,8887.4639210649657,38478.321741521446
N66,50,47,8829.7375625600562,37997.379726839063
N66,50,48,8741.8778049556076,38299.806680373411
N66,50,49,8761.0792668000468,38284.686341947607
N66,50,50,8582.9822398030228,38242.617652355519
