plastic,epsilon,index,aSurf[A^2],aVol[A^3]
N66,40,0,8888.0251975831179,38394.181282584126
N66,40,1,8859.0496002329401,38490.419855898188
N66,40,2,8818.8316463564333,38639.283081815222
N66,40,3,8648.9473806262049,38109.772331891916
N66,40,4,8862.1612045406819,38206.191237040191
N66,40,5,8597.1300606222721,38141.691667262676
N66,40,6,8676.2969966069668,38085.267407541040
N66,40,7,9584.6074531482118,39423.969569607078
N66,40,8,8923.2569196190125,38422.123529012359
N66,40,9,9070.1975992438438,38897.256852494567
N66,40,10,9087.0093607087674,38683.382208944990
N66,40,11,8599.0413441336514,38072.892469060105
N66,40,12,8575.0482382656119,38230.631589350240
N66,40,13,8565.3093000827012,37847.479995619819
N66,40,14,9117.9389775630443,39011.503050292042
N66,40,15,8855.3766975933195,38295.440416654848
N66,40,16,8638.4411079732472,38258.031458136473
N66,40,17,9116.4505875779050,38226.488518802325
N66,40,18,8922.3064787471740,38263.004396661294
N66,40,19,8815.0307218122762,38161.915283519345
N66,40,20,8564.9257408613375,38184.478685395261
N66,40,21,8840.4945528687531,38583.715832569993
N66,40,22,9040.5388736166424,38365.885402385531
N66,40,23,8702.7864195101865,38243.743028912082
N66,40,24,8597.4560590105775,38114.297519792322
N66,40,25,9009.2911791465922,38512.405182819566
N66,40,26,8925.3997775894568,38413.740013188573
N66,40,27,9312.2395230266393,38714.487860348818
N66,40,28,8848.6036671068250,38351.528432572115
N66,40,29,9018.4159008721945,38348.074988496825
N66,40,30,8855.3237380251030,38211.586579139053
N66,40,31,8489.9415111549897,37965.852337715420
N66,40,32,8543.3961054067458,37923.824193876113
N66,40,33,9173.6521530031423,38610.453758469186
N66,40,34,8808.4249750061590,38289.917800111529
N66,40,35,8967.1115381481541,38298.304172606193
N66,40,36,8640.7058822370254,38116.890837975057
N66,40,37,8681.7140057111174,38213.658887589045
N66,40,38,8896.3838867748218,38305.924867162314
N66,40,39,8549.9788041668380,38236.494073042413
N66,40,40,8490.7335970134591,37923.894781771705
N66,40,41,9088.2554383830411,38498.290442566846
N66,40,42,8920.7718929406128,38393.938973074211
N66,40,43,8840.0402671293177,38402.667490531741
N66,40,44,9052.7727098217583,38417.893346450619
N66,40,45,9006.0595081641113,38709.645765807290
N66,40,46,9388.5940924012120,38717.451427480104
N66,40,47,8871.8879119223620,38316.698304735241
N66,40,48,8680.2881888238171,38005.479059583478
