plastic,time,index,aSurf[A^2],aVol[A^3]
PE,20,0,7480.5139112977695,31137.387057461572
PE,20,1,7120.8521869875995,30912.398869489924
PE,20,2,7262.0992180089070,31157.942938423737
PE,20,3,7411.9065256614940,30743.180885464797
PE,20,4,7586.9988954111795,31504.666587942651
PE,20,5,7366.4663513743981,30730.939102707856
PE,20,6,6999.4608091696919,30536.099823977103
PE,20,7,7190.6976797408433,31116.441024755459
PE,20,8,7345.5833975798087,31053.063265004796
PE,20,9,7312.6415109852487,30923.724315549272
PE,20,10,7286.8133452109041,31124.099766242867
PE,20,11,7365.2028415140330,31139.127878796313
PE,20,12,7419.0833476941525,31124.703161573132
PE,20,13,7649.6656521172936,31339.907411319087
PE,20,14,7365.7681077771840,30777.666714927440
PE,20,15,7394.0003288182997,31153.021437667336
PE,20,16,7288.2956126918043,31134.355999311101
PE,20,17,7460.8318799659273,31203.031195218126
PE,20,18,7386.7643067667432,31009.828622993387
PE,20,19,7520.8781791686179,31250.450299870070
PE,20,20,7322.8240277591794,31148.752721180150
PE,20,21,6754.9422016764538,30398.237604664577
PE,20,22,7170.5718727785106,30985.117693520104
PE,20,23,7103.5088259716704,30804.374447193255
PE,20,24,7461.3601831443366,31228.188431718248
PE,20,25,7217.7862623881238,30626.398838649315
PE,20,26,7660.6061270963419,31349.870965833736
PE,20,27,7068.8843960578652,30495.864043870606
PE,20,28,7448.6790691570814,30817.511008969490
PE,20,29,7499.3581680827419,31124.998480570132
PE,20,30,7320.5215833629600,30641.874171504296
PE,20,31,7537.6709268999302,31358.134156257252
PE,20,32,6935.0504685667574,30397.193999594328
PE,20,33,7075.6474112051010,30506.823236521101
PE,20,34,7693.7155970373433,31305.692384837545
PE,20,35,7240.3039008356318,31186.292176321600
PE,20,36,7318.2975560415416,30918.268029656017
PE,20,37,7285.4505070863206,31002.831988948550
PE,20,38,7325.4583265696883,31054.476985093086
PE,20,39,7129.4266004377241,30744.826273851620
PE,20,40,7478.9545520480524,31383.262864986060
PE,20,41,7317.9744635602110,30701.933332821933
PE,20,42,6947.2230134574584,30466.080171562993
PE,20,43,6776.1891882305108,30425.706592533799
