plastic,time,index,aSurf[A^2],aVol[A^3]
PP,50,0,8659.8035582302400,33976.250607923110
PP,50,1,8465.2591796058441,33900.349220689954
PP,50,2,8336.6084389920343,33747.490975827241
PP,50,3,8501.3214771890343,33998.514645389638
PP,50,4,8472.5805393175779,33910.164707993470
PP,50,5,8400.2841626207137,33780.571390743382
PP,50,6,8115.0843048099405,33561.720924417816
PP,50,7,8780.6553661711441,34089.379903754474
PP,50,8,8485.3606136851977,33960.377703462560
PP,50,9,8279.5824139722754,33806.933848229266
PP,50,10,8309.1406561427993,33616.478441225969
PP,50,11,8257.0205969877661,33707.010261441654
PP,50,12,8119.3902505434417,33753.815357783707
PP,50,13,8417.2834450611299,33814.654087220595
PP,50,14,8520.8094909080064,33952.374035847504
PP,50,15,8296.5868504777191,33844.628364449120
PP,50,16,8048.4229146772586,33662.351276667127
PP,50,17,7986.4835602786188,33515.342953767467
PP,50,18,8271.6447615788184,33787.867350317407
PP,50,19,8266.5499317348040,33612.561506008264
PP,50,20,8392.8882872159611,33915.005427414981
PP,50,21,8235.9055565949147,33668.502181478754
PP,50,22,8353.3783612060834,33759.045632855778
PP,50,23,8441.2751039628274,33899.341762427335
PP,50,24,8238.7511775231469,33728.055043137712
PP,50,25,8424.4641694341699,33853.107853600523
PP,50,26,8652.7019131333454,33962.247098373024
PP,50,27,8083.6430935136987,33655.484689906545
PP,50,28,8570.6541290290461,33824.783980925007
PP,50,29,8315.0921099416282,33773.896832759267
PP,50,30,8136.6336201905033,33650.255118174297
PP,50,31,8415.1956356365099,33844.763033015479
PP,50,32,8243.9057212306107,33735.863023438789
PP,50,33,8205.2907073264596,33726.626618851340
PP,50,34,8274.2067549564435,33654.609695124498
PP,50,35,8308.3723152530729,33643.526369481784
PP,50,36,8338.8401234888206,33653.106516624568
PP,50,37,8391.9779128560895,33794.189520434353
PP,50,38,8431.7839095225008,33820.353593691325
PP,50,39,8582.3829725930136,34144.490153412851
PP,50,40,8582.1651718416088,33839.723712204737
PP,50,41,8250.0818967827563,33687.301533462625
PP,50,42,8139.5487490834266,33541.329195068349
PP,50,43,8481.1800612600964,33801.294680328050
PP,50,44,8450.4525566593729,33905.177940030029
PP,50,45,8361.7762815322640,33817.664399648573
PP,50,46,8343.2263275230707,33763.451206475118
PP,50,47,8542.2369470751819,33699.151743778079
PP,50,48,8260.0946203223393,33690.104507082644
