plastic,time,index,aSurf[A^2],aVol[A^3]
PS,20,0,11186.251728380796,43614.878385822398
PS,20,1,11151.555138592810,43683.318049467773
PS,20,2,11617.247914134587,44042.468507675891
PS,20,3,11040.935327016874,43581.297103960533
PS,20,4,11155.590269586388,43629.006732671136
PS,20,5,11463.543974457898,43924.656582738615
PS,20,6,11474.703429087829,43900.522581520148
PS,20,7,10936.090327696264,43415.504778388386
PS,20,8,11330.354688261337,43683.026793565317
PS,20,9,11177.352601867353,43637.259372795532
PS,20,10,11034.844415580483,43504.836440353218
PS,20,11,11111.037939554300,43791.972979598700
PS,20,12,10878.880298264034,43452.006513171509
PS,20,13,10832.509277481739,43494.661639846221
PS,20,14,10840.822081979084,43502.203119955026
PS,20,15,11121.098963638229,43536.632332584544
PS,20,16,11348.729989152544,43989.714872831937
PS,20,17,11550.267406782299,43865.775111161885
PS,20,18,10685.142914374701,43448.645748256655
PS,20,19,11005.011823760220,43511.666847705703
PS,20,20,10933.008425307313,43480.442255537702
PS,20,21,10917.535219135370,43639.734772449279
PS,20,22,11393.128578557344,43747.717162294946
PS,20,23,11758.896013467971,43901.322308876028
PS,20,24,11053.768416265115,43736.801832776757
PS,20,25,11380.081884865214,43865.846903085352
PS,20,26,10926.352615598480,43562.088122044763
PS,20,27,11008.988049336251,43544.165129476183
PS,20,28,11165.927412343748,43627.120368550350
PS,20,29,11131.344067964517,43713.238446761738
PS,20,30,11236.336476931579,43811.391587989354
PS,20,31,11079.858928529677,43572.465869765671
PS,20,32,11006.918868631246,43686.405523086825
PS,20,33,11111.548644828406,43568.818775359083
PS,20,34,11001.822050443165,43647.141986304930
PS,20,35,11405.997303674747,43784.352716893569
PS,20,36,11127.397662588537,43600.837507730117
PS,20,37,11275.343060256233,43824.421180469129
PS,20,38,11430.547601476715,43946.027026292417
PS,20,39,10889.946902518644,43576.004347306924
PS,20,40,11009.030607674822,43710.059984321801
PS,20,41,10720.278269436069,43247.241299709000
PS,20,42,11162.300344964107,43647.436238611306
PS,20,43,11057.588174731294,43655.517178539172
PS,20,44,10990.108817906483,43674.681958550413
PS,20,45,11186.914555056934,43800.346566061751
PS,20,46,11056.724041611456,43585.103063980772
PS,20,47,10793.992708237018,43458.904429177157
