plastic,time,index,aSurf[A^2],aVol[A^3]
N66,50,0,8890.6873740225110,38268.329460106572
N66,50,1,8876.0334131774307,38280.544715540040
N66,50,2,8837.8241227780418,38209.437685751691
N66,50,3,9303.7003640697731,38599.140816976964
N66,50,4,8662.5050900611750,38009.648344476591
N66,50,5,8974.6643750582698,38194.852836159334
N66,50,6,8680.6844681130951,38046.511440022558
N66,50,7,9062.8797174420924,38348.939623776903
N66,50,8,9128.1204586973672,38354.110987133827
N66,50,9,8822.1558614990590,38163.278180175330
N66,50,10,8962.4385212869329,38181.256816968395
N66,50,11,8822.3934354880603,38350.469997113920
N66,50,12,8839.1887112338063,38218.959631588797
N66,50,13,9337.8377117048585,38563.867677997725
N66,50,14,8799.4944658286186,38311.471563246996
N66,50,15,9292.1104428632298,38496.569804963372
N66,50,16,9128.7707589543097,38365.626388195742
N66,50,17,8835.5436156466185,38205.245510769186
N66,50,18,8769.6675032266885,38084.770909723884
N66,50,19,8926.8362823508378,38310.392170336549
N66,50,20,8701.4861414292791,38114.718571875186
N66,50,21,8734.8604329403679,38106.968018551896
N66,50,22,9287.2465086207812,38543.343043827510
N66,50,23,8633.8410677984284,38184.233208955200
N66,50,24,8661.3325733335078,38078.338432339726
N66,50,25,9155.0134070505610,38330.525733900795
N66,50,26,8816.0169969574654,38185.241915247010
N66,50,27,8667.4364002136444,38131.305526076125
N66,50,28,8992.4457100146374,38389.148103715015
N66,50,29,8841.9939156503369,38185.212079896584
N66,50,30,9346.3126279604057,38569.794873532323
N66,50,31,9021.0590568278094,38315.105070244033
N66,50,32,8685.0734762938300,37894.704524740650
N66,50,33,8973.9851190558857,38191.850174147905
N66,50,34,9075.8085183189760,38268.795805569425
N66,50,35,9089.5851985511836,38418.976560556599
N66,50,36,8900.3505504553104,38372.041543600448
N66,50,37,9066.2536443147255,38314.246469304060
N66,50,38,8986.4460029624370,38420.742449995028
N66,50,39,8930.1543389842009,38215.167797837814
N66,50,40,8931.4128965803502,38132.076752541805
N66,50,41,9052.9424662987567,38311.087686858671
N66,50,42,8911.2983903050881,38415.546829545994
N66,50,43,8826.7608059578706,38179.852869629765
N66,50,44,9264.3410270900713,38409.369896338780
N66,50,45,8895.1916608525607,38469.061944448484
N66,50,46,8878.6856175368030,38363.507094614506
N66,50,47,8879.7223908342876,38044.990830087445
N66,50,48,8799.0889911478971,38168.478829072112
N66,50,49,8847.8024385775552,38165.150758267802
N66,50,50,8703.3155864937817,38110.386037538869
