plastic,time,index,aSurf[A^2],aVol[A^3]
PE,20,0,7933.4929529903975,32088.174347542106
PE,20,1,7366.9905321361357,31691.464445142276
PE,20,2,7616.3228458551221,32025.218766870461
PE,20,3,7771.3720242626314,31791.784452540425
PE,20,4,7972.9060538906078,32239.996081389538
PE,20,5,7732.4349477929882,31792.249593499138
PE,20,6,7457.3351398983605,31704.264068261768
PE,20,7,7403.9285981551930,31786.392360274229
PE,20,8,7615.4933921890279,31808.072495594897
PE,20,9,7662.6219264672673,31860.723097165595
PE,20,10,7646.1350422326714,31958.929119884582
PE,20,11,7764.2730295785705,31974.408044113792
PE,20,12,7699.2564851401712,31866.179052604250
PE,20,13,7898.6357754234687,32103.855239806751
PE,20,14,7756.9322314074352,31819.440332688060
PE,20,15,7765.0926180211627,32143.704495843624
PE,20,16,7665.8282657602422,32102.743185068961
PE,20,17,7843.7743563837967,32086.924724077457
PE,20,18,7735.3730486504610,31826.015647689961
PE,20,19,7893.5101679462305,32177.805573388770
PE,20,20,7703.9385386006115,31958.701228748690
PE,20,21,7100.7633440427589,31502.015827204141
PE,20,22,7500.9027280281571,31850.651956181206
PE,20,23,7438.4240263836691,31724.121347226406
PE,20,24,7802.3802105336063,32044.569055739328
PE,20,25,7618.9281346919615,31721.727439237002
PE,20,26,7965.6444092367665,32093.728573738819
PE,20,27,7446.9357800716580,31601.371439701805
PE,20,28,7802.6860007072919,31830.066914628467
PE,20,29,7794.1453093476166,31886.139041137252
PE,20,30,7681.4290731340507,31687.002888297811
PE,20,31,7897.1486482724722,32065.870181942846
PE,20,32,7257.7950391607237,31547.036745035897
PE,20,33,7451.6241655525309,31610.001275570554
PE,20,34,7947.3746952040028,32016.010044112296
PE,20,35,7543.5080324824658,32040.525432984839
PE,20,36,7598.6591890520767,31743.852215283470
PE,20,37,7561.1562252730300,31828.117112877437
PE,20,38,7689.9197682378490,32001.858321329619
PE,20,39,7573.6755722575699,31785.738655360328
PE,20,40,7846.6352184096177,32114.611820115177
PE,20,41,7612.1648247443045,31678.100384089994
PE,20,42,7351.4090893898374,31567.247256887742
PE,20,43,7241.4067472197294,31608.969661145824
