plastic,time,index,aSurf[A^2],aVol[A^3]
PP,20,0,8739.3702692562874,34405.276349388128
PP,20,1,8776.7736106784614,34417.486702089751
PP,20,2,8894.9710186394059,34572.758465739062
PP,20,3,8899.1585660457222,34534.064191536199
PP,20,4,9275.6199589712996,34728.407242027322
PP,20,5,8866.9588806169286,34463.563122131418
PP,20,6,8764.6098283659412,34526.779723509084
PP,20,7,8908.0299336724347,34578.238660221337
PP,20,8,8579.3235281361176,34398.067360690453
PP,20,9,8613.2177593396791,34401.473084588753
PP,20,10,9204.8038626351117,34754.944538109958
PP,20,11,8823.3392355961441,34524.685709068683
PP,20,12,8698.3007631829332,34550.724893592822
PP,20,13,8874.9457192498248,34512.608357157515
PP,20,14,8916.0584466555902,34414.168844341119
PP,20,15,8844.6971846061933,34476.922561103631
PP,20,16,8913.3431534482970,34595.319740644540
PP,20,17,8909.4781103603145,34437.448831767033
PP,20,18,8713.3681130184232,34415.560765727067
PP,20,19,8580.1215422073401,34424.712974359318
PP,20,20,8703.3522982940212,34438.813898834691
PP,20,21,8847.0659702544581,34572.099651635835
PP,20,22,8944.2330144166190,34534.072685658743
PP,20,23,8916.6206198574473,34648.606442788128
PP,20,24,9053.0682294935013,34621.660816830947
PP,20,25,8839.7260548993399,34570.049804832553
PP,20,26,8778.6023123434989,34406.186893413229
PP,20,27,8766.2979685794508,34431.882293587361
PP,20,28,8876.3808625530000,34458.690242520854
PP,20,29,9061.2752982631482,34667.469239942933
PP,20,30,8599.4681833745744,34303.821795949902
PP,20,31,8904.2346199119402,34600.771020322871
PP,20,32,8781.9230003393186,34491.380051222441
PP,20,33,8488.0890879408580,34332.704409696409
PP,20,34,8695.0930243135226,34360.460948300584
PP,20,35,9022.9915505144709,34640.032675534996
PP,20,36,8730.5224635746672,34411.406228440312
PP,20,37,8855.9193724799752,34473.027630252996
PP,20,38,8961.5378665525550,34510.681219269616
PP,20,39,8995.2885165147272,34612.592985363619
PP,20,40,8905.1064847688067,34486.985119710545
PP,20,41,8878.6977378385964,34581.383927492003
PP,20,42,8884.3182933179432,34578.891690689437
PP,20,43,8903.4935963221124,34556.701693126110
PP,20,44,9099.5760552996908,34668.823802884741
PP,20,45,8778.8729793126586,34502.187027427521
PP,20,46,8979.4722637290215,34553.917842404662
PP,20,47,8645.7420829859529,34348.734226295652
PP,20,48,9010.5565852979817,34639.770908605184
PP,20,49,8872.5844433933435,34227.685334165319
PP,20,50,8841.8648168514846,34484.129134967341
