plastic,time,index,aSurf[A^2],aVol[A^3]
PS,50,0,10871.547818396823,42939.637616631451
PS,50,1,10736.292000886824,42828.397849913148
PS,50,2,10936.303119867694,42887.430073969947
PS,50,3,10929.773956106452,42916.816778115142
PS,50,4,10833.012840490435,42873.063309688194
PS,50,5,10791.425559869183,42777.842342645788
PS,50,6,10911.634570690665,42963.401111621824
PS,50,7,10880.477944345088,42851.221090409264
PS,50,8,11010.190517114974,42788.467095538239
PS,50,9,10778.079999773949,42792.205736241965
PS,50,10,11121.226494724273,43185.961956078951
PS,50,11,10746.269529528334,42780.156020016679
PS,50,12,10982.938400435860,43011.555912817654
PS,50,13,10893.092496447214,42958.968953934796
PS,50,14,10657.953088611859,42712.547726327895
PS,50,15,10831.822594214880,42869.958988670420
PS,50,16,10676.989007209308,42808.529523272264
PS,50,17,10687.504483686051,42822.450400020374
PS,50,18,11107.929453959514,43090.499415455080
PS,50,19,10797.941028829342,42783.414387450845
PS,50,20,10857.395554805917,43047.765496694454
PS,50,21,11166.964577995992,43107.324915835517
PS,50,22,10622.512899427426,42828.962925431406
PS,50,23,11503.065534549063,43375.052541219346
PS,50,24,10565.964076568782,42738.690374708574
PS,50,25,11001.229836548029,42955.104665955048
PS,50,26,10704.741742749227,42746.352350983943
PS,50,27,10519.196039955852,42617.656257296861
PS,50,28,10936.863895929817,43023.594248243877
PS,50,29,10950.498825243443,42966.328988099107
PS,50,30,10782.693207847133,42859.089188696817
PS,50,31,10969.909306749558,42929.500569032796
PS,50,32,10938.949568716102,42996.059927772847
PS,50,33,10738.307505173410,42752.069279225230
PS,50,34,10850.317471525101,42875.131281543792
PS,50,35,11129.665204770945,42954.715304771540
PS,50,36,10919.116960335919,42977.247790609305
PS,50,37,10865.774036706118,42810.453341805944
PS,50,38,10683.758429749916,42833.652564543991
PS,50,39,10702.878212824055,42725.583851998999
PS,50,40,10699.338030061142,42976.176314912074
PS,50,41,10439.574767549793,42642.928633255913
PS,50,42,11145.445966269290,43058.821587332401
PS,50,43,10752.913187005555,42848.132566689332
PS,50,44,10957.726454038506,42988.071563502366
PS,50,45,10739.237539175088,42789.508062579727
PS,50,46,10889.808180825750,42975.686665420173
PS,50,47,10758.792777986742,42811.869075051058
PS,50,48,10959.297446200620,42979.477501123860
PS,50,49,10686.340081069664,42713.102362092053
