plastic,time,index,aSurf[A^2],aVol[A^3]
N66,50,0,9047.5036560488606,38590.758339573644
N66,50,1,9137.5372276574890,38715.733617792190
N66,50,2,9122.4605760577761,38762.236296143928
N66,50,3,9487.2220368449325,38961.389025330718
N66,50,4,8891.4547638665808,38398.910726443719
N66,50,5,9164.5176055871252,38671.924585158151
N66,50,6,8945.7593049171410,38548.089041009458
N66,50,7,9269.3734622226839,38735.025270667917
N66,50,8,9358.6954166686119,38808.805051802789
N66,50,9,8952.4268969282039,38491.615376449387
N66,50,10,9123.6436119274258,38564.673271900443
N66,50,11,9044.5528252096810,38755.436704511267
N66,50,12,9022.5854792821101,38649.567993923891
N66,50,13,9572.4951381960327,38882.745530987529
N66,50,14,8987.6571268279440,38666.592800200444
N66,50,15,9504.4496502108923,38912.947677710486
N66,50,16,9314.6104814041628,38723.366175095623
N66,50,17,9099.9399403270563,38738.628672606130
N66,50,18,8992.8770761851865,38526.469851724796
N66,50,19,9194.5115493658705,38762.195931875634
N66,50,20,8908.0178687817970,38537.688963765038
N66,50,21,8959.6837600993094,38562.103224819315
N66,50,22,9663.8512935866165,39114.673312156374
N66,50,23,8793.5145074538759,38520.255461848428
N66,50,24,8886.0880927921899,38521.036253618891
N66,50,25,9393.5495874762782,38791.617807849318
N66,50,26,8991.5660816968139,38535.144049747447
N66,50,27,8906.3504593070029,38532.231626693399
N66,50,28,9188.8009264691700,38720.446939136447
N66,50,29,9046.3415824127460,38598.406432947886
N66,50,30,9544.7165230849605,38934.496922555089
N66,50,31,9186.0935114237363,38687.106154349465
N66,50,32,8924.3400122653929,38427.629092321178
N66,50,33,9111.5355004304965,38496.247416498685
N66,50,34,9320.0635974259476,38648.432760593932
N66,50,35,9303.4842506213972,38691.380875797389
N66,50,36,9110.8471566476055,38819.310513864577
N66,50,37,9277.6717724912050,38607.612555543950
N66,50,38,9209.3417185251474,38892.463352213024
N66,50,39,9106.4231076109081,38564.840261567741
N66,50,40,9129.5740816895486,38588.146241908842
N66,50,41,9201.3500844400842,38702.687928150786
N66,50,42,9101.3929757262831,38765.972965274283
N66,50,43,9019.7001173292592,38591.222219060939
N66,50,44,9464.6794898788758,38870.114805636207
N66,50,45,9124.7484301135464,38867.279571039420
N66,50,46,9084.8215386942247,38813.137258619499
N66,50,47,9019.3301714734462,38373.300679060703
N66,50,48,8970.5804714043679,38565.251296909039
N66,50,49,9077.8989049730226,38682.961787542241
N66,50,50,8866.7091584914069,38493.956975063018
