plastic,time,index,aSurf[A^2],aVol[A^3]
PE,20,0,7937.4912682865152,32071.266416842191
PE,20,1,7371.0353822783491,31689.001284002657
PE,20,2,7620.1300884786342,32027.607192364714
PE,20,3,7774.9309092230933,31792.541751003166
PE,20,4,7976.9023075194582,32236.834788484717
PE,20,5,7735.8357468091572,31776.215811785896
PE,20,6,7460.3219849403786,31723.998404419326
PE,20,7,7407.4555272246853,31796.535577140483
PE,20,8,7619.4460562070799,31829.213702870886
PE,20,9,7666.7525568259280,31881.189507000719
PE,20,10,7649.4817223994660,31957.673015810869
PE,20,11,7767.8754305169896,31992.559240368984
PE,20,12,7703.2039949789314,31889.851605254604
PE,20,13,7902.6882831944195,32092.604856136117
PE,20,14,7760.3548252216715,31828.927210907303
PE,20,15,7769.2808278942503,32136.679858933276
PE,20,16,7669.6118728058509,32108.236770501440
PE,20,17,7848.0231646357615,32079.410557476604
PE,20,18,7738.9211834701637,31834.173888723406
PE,20,19,7897.6835043366054,32171.796036505093
PE,20,20,7707.7177277766996,31966.987957272973
PE,20,21,7102.9655762159846,31489.800818768901
PE,20,22,7504.4440151616682,31859.296244315687
PE,20,23,7441.5928138389845,31726.261378246993
PE,20,24,7806.4363262315474,32047.870973474721
PE,20,25,7622.6152113803710,31712.138139053048
PE,20,26,7969.6321216578081,32087.228178513207
PE,20,27,7450.4387790356086,31600.791272630759
PE,20,28,7806.4743201426554,31814.287833739709
PE,20,29,7798.2293312236634,31897.913399125391
PE,20,30,7684.6915193440909,31692.564161909890
PE,20,31,7900.7145281921121,32075.944467767964
PE,20,32,7260.4895687832213,31542.331890602105
PE,20,33,7454.3974068142134,31617.031064078208
PE,20,34,7951.4482614779781,32035.186562292009
PE,20,35,7547.5124591623699,32037.986713461811
PE,20,36,7601.8631721759502,31737.602066566906
PE,20,37,7564.0243033702736,31830.139669091288
PE,20,38,7693.0113903173105,31997.350374407990
PE,20,39,7576.5195729836914,31771.922963171623
PE,20,40,7851.1694207657838,32108.471024445553
PE,20,41,7615.6478696791328,31685.539024684913
PE,20,42,7354.9360920921481,31573.833494838298
PE,20,43,7244.4552951144178,31618.227034317359
