plastic,time,index,aSurf[A^2],aVol[A^3]
PP,50,0,9145.5067595867331,34639.757813630895
PP,50,1,8932.6707986461606,34575.599181459525
PP,50,2,8858.5144996855342,34495.506377610967
PP,50,3,9019.0450713139890,34724.832032190076
PP,50,4,8964.0972092039829,34609.860823298855
PP,50,5,8898.2358951674214,34556.404568463266
PP,50,6,8658.1616595148826,34378.765855171383
PP,50,7,9315.5483309849606,34771.614594704435
PP,50,8,8907.0135305393051,34629.882401432871
PP,50,9,8671.4377133855905,34414.105642834773
PP,50,10,8741.4986494603654,34320.373366208492
PP,50,11,8776.5675177036446,34392.642187721329
PP,50,12,8668.0886024840747,34467.101321189577
PP,50,13,8855.3823807470162,34495.641837395102
PP,50,14,8992.5636505030434,34574.831568015958
PP,50,15,8823.8493518925097,34572.071020561991
PP,50,16,8583.7821114720755,34409.529499382385
PP,50,17,8513.3430053726643,34370.280031984570
PP,50,18,8784.2498906283490,34487.835235835446
PP,50,19,8797.6081893926948,34495.590711384692
PP,50,20,8946.8667245075030,34658.231263538095
PP,50,21,8744.9947274961723,34369.980219344965
PP,50,22,8824.5274207095754,34484.398173402027
PP,50,23,8809.3250306230639,34458.205265573968
PP,50,24,8765.6309445671450,34464.206222339322
PP,50,25,9018.0824179777610,34634.679672979611
PP,50,26,9074.2011619238710,34572.946381345573
PP,50,27,8550.1698878640764,34345.643860990145
PP,50,28,9066.6903488717035,34539.956130847298
PP,50,29,8831.2972099986418,34509.908705593298
PP,50,30,8557.1982695198039,34374.909598869883
PP,50,31,8934.7724504286743,34543.181018724739
PP,50,32,8778.8893258167536,34558.136792807323
PP,50,33,8682.3449799674199,34395.929853817244
PP,50,34,8768.8415545082262,34435.652779493073
PP,50,35,8823.3281167089299,34423.620066809584
PP,50,36,8811.3339073920943,34397.087924397179
PP,50,37,8825.6784955866806,34456.315371801131
PP,50,38,8965.1580121559764,34573.508029720637
PP,50,39,9058.0907535580700,34773.404032286984
PP,50,40,9115.7827724975705,34632.277901217429
PP,50,41,8756.9410763660871,34431.764055009080
PP,50,42,8672.7886225032071,34352.911747222293
PP,50,43,9005.4895881688280,34584.193704642297
PP,50,44,8776.2737291558497,34434.076996943892
PP,50,45,8908.7440083401998,34547.447760735435
PP,50,46,8718.7617378741379,34328.178819862449
PP,50,47,9044.1626229714784,34454.703710484289
PP,50,48,8726.7672040617053,34412.367678967326
