plastic,time,index,aSurf[A^2],aVol[A^3]
PS,50,0,10996.975431601137,43110.535020947907
PS,50,1,10873.750933931673,42986.464993618203
PS,50,2,11086.328449844736,43059.560915780370
PS,50,3,11073.198332636206,43076.352201270071
PS,50,4,10981.287296822096,43025.730093282087
PS,50,5,10922.259462128626,42942.585283059940
PS,50,6,11054.022884176498,43126.604870062882
PS,50,7,11023.787161786991,43003.905739187103
PS,50,8,11205.297217110108,43023.635218676274
PS,50,9,10905.407295090834,42974.754321561297
PS,50,10,11297.688404158329,43397.813439339050
PS,50,11,10870.277167078457,42897.939900903548
PS,50,12,11173.818307823889,43235.838157402861
PS,50,13,11046.302076399028,43110.386441851151
PS,50,14,10753.893291868990,42836.113302751881
PS,50,15,10988.939776046614,43055.757754878345
PS,50,16,10841.929860364824,42993.348973545522
PS,50,17,10842.284835635137,43038.646999965022
PS,50,18,11258.911914490847,43248.620313114858
PS,50,19,10957.361611944740,42999.470621914348
PS,50,20,10957.549076211160,43177.979683151818
PS,50,21,11310.243385799296,43275.937033833499
PS,50,22,10755.532393245021,42984.504661270417
PS,50,23,11670.715128236001,43540.856625210341
PS,50,24,10740.703534031723,42940.683378609028
PS,50,25,11121.344304121574,43132.528060624609
PS,50,26,10832.055489900535,42910.595943712491
PS,50,27,10610.506614859163,42724.512111661883
PS,50,28,11089.867677091441,43231.352776739834
PS,50,29,11061.449314822816,43108.093478776682
PS,50,30,10923.482548604061,43000.386704135155
PS,50,31,11110.821243295086,43106.273851360071
PS,50,32,11092.299489586036,43168.174605159693
PS,50,33,10858.743151567543,42914.585737865898
PS,50,34,10974.536283160620,43028.748216958709
PS,50,35,11227.227942650501,43067.976621653819
PS,50,36,11044.825770750827,43127.786266931573
PS,50,37,11007.783223692772,42967.055004916008
PS,50,38,10839.940570386179,42998.228267401944
PS,50,39,10841.932952360627,42938.440062900365
PS,50,40,10838.759157936394,43113.108085507003
PS,50,41,10568.359516533879,42825.428755013891
PS,50,42,11336.938631469751,43262.613128642777
PS,50,43,10914.462518489185,43035.760933773927
PS,50,44,11072.598682630231,43130.493764911553
PS,50,45,10870.419053810176,42924.768050802719
PS,50,46,11018.626284761382,43146.928188100574
PS,50,47,10930.737493925017,43013.708449773614
PS,50,48,11110.659843147798,43148.149504892783
PS,50,49,10801.893397184336,42845.879233462052
