Frame,Cis count,Trans count
0,428,936
1,406,958
2,411,953
3,419,945
4,423,941
5,428,936
6,428,936
7,458,906
8,427,937
9,428,936
10,420,944
11,438,926
12,427,937
13,444,920
14,416,948
15,420,944
16,412,952
17,424,940
18,432,932
19,436,928
20,424,940
21,430,934
22,409,955
23,435,929
24,442,922
25,443,921
26,421,943
27,461,903
28,434,930
29,411,953
30,438,926
31,441,923
32,423,941
33,430,934
34,437,927
35,419,945
36,423,941
37,400,964
38,438,926
39,398,966
40,438,926
41,420,944
42,422,942
43,399,965
44,420,944
45,424,940
46,423,941
47,414,950
48,443,921
49,421,943
