Frame,Cis count,Trans count
0,313,441
1,324,430
2,323,431
3,322,432
4,326,428
5,325,429
6,336,418
7,325,429
8,323,431
9,319,435
10,327,427
11,328,426
12,320,434
13,313,441
14,316,438
15,332,422
16,329,425
17,326,428
18,316,438
19,319,435
20,328,426
21,325,429
22,323,431
23,337,417
24,328,426
25,322,432
26,328,426
27,325,429
28,326,428
29,318,436
30,325,429
31,323,431
32,316,438
33,318,436
34,326,428
35,327,427
36,325,429
37,330,424
38,324,430
39,322,432
40,317,437
41,329,425
42,324,430
43,332,422
44,325,429
45,328,426
46,328,426
47,320,434
48,329,425
49,327,427
50,336,418
