Frame,Cis count,Trans count
0,193,323
1,179,337
2,177,339
3,184,332
4,183,333
5,191,325
6,189,327
7,196,320
8,184,332
9,189,327
10,189,327
11,200,316
12,190,326
13,178,338
14,178,338
15,180,336
16,192,324
17,183,333
18,179,337
19,192,324
20,188,328
21,197,319
22,187,329
23,191,325
24,199,317
25,189,327
26,200,316
27,190,326
28,209,307
29,175,341
30,184,332
31,182,334
32,192,324
33,183,333
34,198,318
35,193,323
36,185,331
37,184,332
38,190,326
39,191,325
40,194,322
41,198,318
42,180,336
43,184,332
44,196,320
45,190,326
46,186,330
47,188,328
