Frame, Asphericity Parameter
0,67.199
1,43.422
2,103.397
3,59.664
4,22.901
5,54.388
6,142.381
7,76.440
8,68.331
9,35.536
10,38.235
11,57.591
12,13.223
13,55.040
14,29.203
15,30.229
16,61.184
17,59.353
18,25.547
19,33.484
20,93.882
21,13.825
22,33.822
23,60.652
24,44.817
25,78.552
26,27.510
27,17.425
28,107.908
29,24.618
30,47.457
31,103.654
32,74.589
33,34.494
34,29.638
35,61.005
36,66.778
37,36.648
38,45.956
39,37.101
40,61.900
41,22.164
42,37.640
43,53.896
44,37.671
45,73.845
46,50.256
47,56.385
48,20.650
49,23.750
