Frame, Asphericity Parameter
0,15.236
1,24.368
2,36.940
3,18.074
4,34.343
5,34.595
6,27.315
7,25.031
8,40.441
9,38.699
10,17.210
11,29.387
12,26.468
13,23.738
14,21.582
15,20.502
16,36.828
17,31.205
18,42.789
19,37.526
20,25.563
21,13.359
22,13.366
23,40.062
24,33.808
25,37.229
26,37.558
27,21.176
28,27.970
29,23.003
30,32.892
31,19.533
32,14.417
33,29.494
34,21.059
35,17.670
36,27.214
37,33.587
38,30.954
39,31.323
40,41.885
41,29.950
42,30.620
43,24.870
44,21.666
45,26.561
46,15.005
47,18.931
48,37.529
