Frame, Asphericity Parameter
0,32.190
1,47.328
2,24.278
3,45.549
4,38.427
5,57.534
6,25.282
7,54.721
8,37.550
9,34.685
10,54.816
11,23.718
12,30.853
13,41.783
14,23.123
15,48.194
16,17.973
17,24.218
18,36.978
19,41.924
20,26.181
21,44.442
22,32.044
23,57.905
24,50.776
25,29.387
26,23.092
27,20.589
28,35.623
29,16.708
30,27.339
31,25.638
32,31.642
33,64.712
34,24.946
35,47.152
36,50.044
37,21.540
38,29.062
39,65.792
40,26.549
41,46.347
42,58.449
43,33.370
44,42.894
45,31.579
46,35.721
47,34.006
48,35.133
49,22.915
