Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
0,O,2.500,3.500,30.000,162
1,O,2.500,3.500,30.000,166
2,O,2.500,3.500,30.000,168
3,O,2.500,3.500,30.000,165
4,O,2.500,3.500,30.000,165
5,O,2.500,3.500,30.000,164
6,O,2.500,3.500,30.000,160
7,O,2.500,3.500,30.000,170
8,O,2.500,3.500,30.000,173
9,O,2.500,3.500,30.000,171
10,O,2.500,3.500,30.000,157
11,O,2.500,3.500,30.000,158
12,O,2.500,3.500,30.000,164
13,O,2.500,3.500,30.000,169
14,O,2.500,3.500,30.000,169
15,O,2.500,3.500,30.000,160
16,O,2.500,3.500,30.000,165
17,O,2.500,3.500,30.000,165
18,O,2.500,3.500,30.000,168
19,O,2.500,3.500,30.000,163
20,O,2.500,3.500,30.000,166
21,O,2.500,3.500,30.000,170
22,O,2.500,3.500,30.000,165
23,O,2.500,3.500,30.000,166
24,O,2.500,3.500,30.000,163
25,O,2.500,3.500,30.000,161
26,O,2.500,3.500,30.000,156
27,O,2.500,3.500,30.000,166
28,O,2.500,3.500,30.000,168
29,O,2.500,3.500,30.000,167
30,O,2.500,3.500,30.000,174
31,O,2.500,3.500,30.000,168
32,O,2.500,3.500,30.000,165
33,O,2.500,3.500,30.000,170
34,O,2.500,3.500,30.000,170
35,O,2.500,3.500,30.000,163
36,O,2.500,3.500,30.000,168
37,O,2.500,3.500,30.000,166
38,O,2.500,3.500,30.000,165
39,O,2.500,3.500,30.000,173
40,O,2.500,3.500,30.000,170
41,O,2.500,3.500,30.000,164
42,O,2.500,3.500,30.000,168
43,O,2.500,3.500,30.000,161
44,O,2.500,3.500,30.000,174
45,O,2.500,3.500,30.000,167
46,O,2.500,3.500,30.000,164
47,O,2.500,3.500,30.000,171
48,O,2.500,3.500,30.000,167
49,O,2.500,3.500,30.000,164
50,O,2.500,3.500,30.000,173
