#Frame Index,  Radius of gyration [pm]
0, 1564.8449
1, 1564.8594
2, 1574.3988
3, 1586.1597
4, 1559.6424
5, 1573.7837
6, 1568.014
7, 1585.0868
8, 1580.7049
9, 1584.1619
10, 1568.066
11, 1594.9876
12, 1558.8952
13, 1582.5452
14, 1571.7685
15, 1594.86
16, 1559.7194
17, 1567.7777
18, 1568.8008
19, 1587.5941
20, 1569.6892
21, 1572.4955
22, 1582.6296
23, 1558.0541
24, 1596.9629
25, 1568.5253
26, 1569.6039
27, 1576.1718
28, 1575.4495
29, 1568.4574
30, 1588.6045
31, 1568.1459
32, 1562.458
33, 1563.7675
34, 1562.3652
35, 1574.0098
36, 1574.8888
37, 1555.8959
38, 1571.5224
39, 1572.7202
40, 1570.9603
41, 1585.2948
42, 1573.652
43, 1551.1117
44, 1582.3577
45, 1567.0105
46, 1569.6024
47, 1582.6427
48, 1582.1344
49, 1573.5499
50, 1577.5876
