#Frame Index,  Radius of gyration [pm]
0, 1569.2272
1, 1568.0509
2, 1601.6607
3, 1582.981
4, 1565.7512
5, 1554.422
6, 1592.1882
7, 1564.3831
8, 1561.7255
9, 1556.6763
10, 1579.1897
11, 1579.8797
12, 1567.3962
13, 1572.9314
14, 1600.1615
15, 1580.3212
16, 1564.3566
17, 1557.7962
18, 1575.2135
19, 1570.1912
20, 1574.9682
21, 1581.3728
22, 1580.9566
23, 1580.3346
24, 1562.0002
25, 1557.4698
26, 1574.3678
27, 1574.2808
28, 1574.7565
29, 1581.4089
30, 1574.8607
31, 1584.527
32, 1581.8673
33, 1577.7384
34, 1569.5422
35, 1551.0857
36, 1570.3852
37, 1580.338
38, 1563.9954
39, 1562.5553
40, 1576.6064
41, 1577.9714
42, 1573.1411
43, 1560.6647
44, 1571.548
45, 1570.0766
46, 1568.3978
47, 1554.8534
48, 1569.6379
49, 1573.38
