#Frame Index,  Radius of gyration [pm]
0, 1463.6318
1, 1468.4242
2, 1459.2601
3, 1533.3213
4, 1516.1784
5, 1500.1851
6, 1453.1039
7, 1480.0781
8, 1477.955
9, 1489.5759
10, 1453.4581
11, 1483.1047
12, 1504.0345
13, 1531.4451
14, 1469.9079
15, 1445.4518
16, 1492.1913
17, 1469.5416
18, 1477.8847
19, 1487.5585
20, 1461.6379
21, 1433.4633
22, 1465.3836
23, 1444.692
24, 1493.1087
25, 1476.8191
26, 1481.6441
27, 1450.9995
28, 1490.9619
29, 1455.171
30, 1479.0131
31, 1476.7048
32, 1467.3329
33, 1450.1933
34, 1513.2622
35, 1461.4251
36, 1459.8043
37, 1494.8288
38, 1479.2178
39, 1478.2488
40, 1471.9733
41, 1515.5027
42, 1439.2358
43, 1455.5876
