#Frame Index,  Radius of gyration [pm]
0, 1503.1228
1, 1527.9142
2, 1523.0633
3, 1502.904
4, 1530.1097
5, 1516.7809
6, 1507.3209
7, 1526.8103
8, 1508.4646
9, 1496.9653
10, 1549.1142
11, 1512.0972
12, 1512.0933
13, 1519.7048
14, 1517.2574
15, 1505.2668
16, 1507.2836
17, 1508.0005
18, 1512.8243
19, 1497.7701
20, 1507.7975
21, 1505.0817
22, 1524.0791
23, 1508.1989
24, 1511.7674
25, 1503.9486
26, 1524.2358
27, 1506.9691
28, 1503.4502
29, 1526.1999
30, 1507.945
31, 1509.3805
32, 1501.7483
33, 1486.433
34, 1501.7337
35, 1528.5114
36, 1496.2217
37, 1514.1234
38, 1511.0283
39, 1522.073
40, 1504.8467
41, 1505.8157
42, 1520.899
43, 1535.6552
44, 1520.7426
45, 1507.315
46, 1515.8521
47, 1503.2569
48, 1554.1098
49, 1515.0304
50, 1513.8114
