#Frame Index,  Radius of gyration [pm]
0, 1652.915
1, 1667.3124
2, 1655.8973
3, 1668.9207
4, 1677.7028
5, 1668.7034
6, 1667.0974
7, 1685.3591
8, 1683.8365
9, 1653.5926
10, 1675.2926
11, 1651.6444
12, 1659.7143
13, 1666.4708
14, 1648.2664
15, 1667.0676
16, 1635.1419
17, 1655.9699
18, 1677.0388
19, 1664.4657
20, 1661.5873
21, 1682.5054
22, 1649.6787
23, 1686.2535
24, 1658.9445
25, 1667.6993
26, 1647.1889
27, 1639.0879
28, 1654.8266
29, 1665.2467
30, 1643.2964
31, 1653.5003
32, 1662.5816
33, 1680.7597
34, 1648.4615
35, 1667.8073
36, 1670.3064
37, 1637.4856
38, 1646.5005
39, 1683.0781
40, 1656.9361
41, 1655.1943
42, 1693.7426
43, 1655.8437
44, 1661.6421
45, 1668.665
46, 1667.0691
47, 1663.346
48, 1665.1076
49, 1647.2842
