#Frame Index,  Radius of gyration [pm]
0, 9045.4981
1, 8959.3793
2, 9015.6762
3, 9173.7239
4, 9372.7841
5, 10525.001
6, 10205.846
7, 9963.5604
8, 9759.092
9, 9676.3447
10, 9809.0912
11, 9758.8979
12, 9773.6023
13, 10419.192
14, 10371.177
15, 10248.544
16, 10065.448
17, 9934.9432
18, 9714.883
19, 9586.6435
20, 9504.4458
21, 9528.4037
22, 9624.5968
23, 9815.911
24, 10088.79
25, 11144.856
26, 10944.238
27, 9618.8304
28, 9609.6392
29, 9784.8661
30, 10060.975
31, 10292.97
32, 10628.32
33, 10949.274
34, 11091.767
35, 11329.079
36, 11295.57
37, 10680.159
38, 11612.056
39, 11177.535
40, 10531.05
41, 11080.276
42, 11302.089
43, 11587.38
44, 11087.591
45, 11022.124
46, 11740.185
47, 11737.44
48, 12182.765
49, 13108.465
50, 12481.483
51, 13472.476
52, 12599.665
53, 11304.878
54, 11053.169
55, 9762.372
56, 9612.7382
57, 9558.7081
58, 9679.4777
59, 9776.5942
60, 9646.7843
61, 9961.6204
62, 10261.081
63, 10130.898
64, 10005.646
65, 10120.517
66, 8832.3064
67, 8865.0214
68, 8745.1574
69, 8827.1853
70, 8973.4509
71, 9148.1161
72, 9746.3171
73, 8443.4118
74, 9247.2651
75, 9221.8194
76, 6833.9909
77, 6796.6787
78, 6800.2941
79, 6884.7038
80, 7019.4407
81, 8266.3882
82, 8591.3996
83, 9147.4819
84, 9039.813
85, 8982.1627
86, 9007.7711
87, 9089.1284
88, 8810.1871
89, 8595.6786
90, 9235.6082
91, 9531.7025
92, 9227.107
93, 9139.3251
94, 9167.4404
95, 8707.7086
96, 9841.7031
97, 9758.7332
98, 9736.0802
99, 9758.3826
100, 9803.9247
101, 9843.8418
102, 9904.5174
103, 9946.5948
104, 9967.1649
105, 10004.543
106, 10043.393
107, 10090.96
108, 10142.351
109, 10839.413
110, 10962.905
111, 11828.394
112, 12853.617
113, 12197.588
114, 11802.936
115, 10820.375
116, 10569.081
117, 10671.043
118, 10266.676
119, 9007.5779
120, 8977.461
121, 8944.4118
122, 8899.1321
123, 8845.8085
124, 8825.6615
125, 8791.3181
126, 8800.2562
127, 8869.6198
128, 8907.549
129, 8434.6669
130, 5328.2476
131, 5075.5694
132, 4802.67
133, 4596.1686
134, 4351.2143
135, 4143.8504
136, 3989.3354
137, 3893.9441
138, 3863.1645
139, 3846.7643
140, 3856.7
141, 3921.7568
142, 4145.8647
143, 4318.8142
144, 4587.5772
145, 4843.8896
146, 5127.0474
147, 5440.8592
148, 5704.0336
149, 5987.5065
150, 6246.2133
151, 7241.3694
152, 6622.1388
153, 6460.5025
154, 6313.5031
155, 6216.0103
156, 6111.2767
157, 6057.6314
158, 6030.707
159, 6032.6433
160, 6069.7298
161, 6084.9113
162, 6108.8471
163, 6152.627
164, 6207.0958
165, 6289.3222
166, 6353.8712
167, 6426.6021
168, 6486.7083
169, 6555.3113
170, 6670.2112
171, 6785.0357
172, 6926.804
173, 7547.0064
174, 7513.9763
175, 8262.215
176, 7740.7035
177, 7162.1995
178, 7172.1407
179, 7186.283
180, 7188.8846
181, 7147.5815
182, 7078.124
183, 7583.8451
184, 7773.7423
185, 6998.9741
186, 6974.6129
187, 6937.7934
188, 6909.8891
189, 6881.5494
190, 7418.2018
191, 7618.4097
192, 7499.1548
193, 6864.1622
194, 6806.9832
195, 6720.1485
196, 6618.4526
197, 6568.3886
198, 6465.9047
199, 6340.9634
200, 6994.6241
201, 5973.3978
202, 5795.2145
203, 5642.6873
204, 5467.1535
205, 5314.6542
206, 5154.6583
207, 5015.6891
208, 4836.4553
209, 4666.1801
210, 4460.7697
211, 4289.4861
212, 4112.043
213, 3959.151
214, 3860.8231
215, 3758.808
216, 3658.2642
217, 3574.6495
218, 3498.1855
219, 3437.8298
220, 3374.263
221, 3432.8212
222, 3482.9192
223, 3543.0263
224, 3658.9885
225, 3837.9397
226, 4068.3754
227, 4365.8036
228, 4651.8228
229, 5002.8056
230, 5354.867
231, 6308.3228
232, 6396.5851
233, 5536.7838
234, 5389.6562
235, 5281.8853
236, 5217.5131
237, 5162.6012
238, 5171.6045
239, 5232.8279
240, 5360.5735
241, 5501.8006
242, 6359.9982
243, 6218.0947
244, 5370.4876
245, 5033.8259
246, 4686.9675
247, 4383.764
248, 4106.4087
249, 3878.9297
250, 3740.8335
251, 3671.0546
252, 3676.296
253, 3793.6814
254, 4018.2906
255, 4241.0421
256, 4506.0643
257, 4761.6283
258, 5053.7426
259, 5318.0768
260, 5661.3702
261, 6696.2683
262, 5949.428
263, 5709.1482
264, 5467.8954
265, 5258.2845
266, 5107.092
267, 5020.8444
268, 4945.2522
269, 4937.1893
270, 5020.7732
271, 5095.0863
272, 5182.7651
273, 5311.3684
274, 5452.2627
275, 5658.5229
276, 5868.3863
277, 6051.2143
278, 6244.986
279, 6410.6496
280, 6616.9085
281, 6837.3958
282, 7162.6953
283, 7099.3559
284, 7729.0914
285, 7439.9207
286, 7327.8839
287, 7219.8067
288, 7130.6487
289, 7077.4182
290, 7568.0722
291, 7556.4494
292, 7563.3687
293, 6717.4078
294, 6625.7287
295, 6543.1999
296, 6500.6987
297, 6432.8865
298, 6379.8179
299, 6357.4595
300, 6356.6055
301, 6401.6169
302, 7134.603
303, 6566.9534
304, 6294.9287
305, 6029.3336
306, 5828.5549
307, 5640.9541
308, 5479.8008
309, 5333.7729
310, 5207.8524
311, 5117.1808
312, 5026.5488
313, 4974.8365
314, 4956.7885
315, 4984.1732
316, 5013.6136
317, 5057.7256
318, 5138.0631
319, 5218.9509
320, 5337.0684
321, 5388.7013
322, 5416.0421
323, 5471.9456
324, 5507.2915
325, 5553.5556
326, 5608.8438
327, 5704.0482
328, 5841.6582
329, 5967.6883
330, 6094.4408
331, 6259.3329
332, 6392.6724
333, 7183.6142
334, 7265.894
335, 6782.2627
336, 6770.7907
337, 6782.5972
338, 6817.2023
339, 7451.2604
340, 6797.5012
341, 6553.0138
342, 6308.9514
343, 6086.2817
344, 5871.7579
345, 5689.5898
346, 5499.1931
347, 5306.6968
348, 5115.8478
349, 4961.2601
350, 4816.6325
351, 4695.2425
352, 4600.9094
