#Frame Index,  Radius of gyration [pm]
0, 9947.5381
1, 9169.0155
2, 7340.6802
3, 7594.7588
4, 8405.8692
5, 8834.1114
6, 8776.4961
7, 8631.702
8, 8945.9008
9, 8905.4187
10, 7964.1866
11, 8492.9674
12, 8915.3245
13, 10438.188
14, 10528.724
15, 9968.6249
16, 9991.4033
17, 10338.112
18, 8685.9462
19, 7282.8312
20, 7820.5982
21, 8311.8987
22, 9331.835
23, 9845.8171
24, 10627.05
25, 9692.5092
26, 10917.582
27, 11509.516
28, 11597.819
29, 10858.121
30, 10282.895
31, 8617.6444
32, 9452.9231
33, 9557.5591
34, 9188.0369
35, 8911.4452
36, 9455.8945
37, 10515.62
38, 10222.357
39, 10619.71
40, 11669.037
41, 11460.859
42, 10321.405
43, 10209.182
44, 10210.544
45, 10761.56
46, 11617.424
47, 11811.506
48, 10279.528
49, 10125.153
50, 10244.512
51, 11203.159
52, 11146.564
53, 11256.76
54, 11411.287
55, 11254.713
56, 10362.923
57, 9572.1485
58, 10515.848
59, 8933.497
60, 8463.0611
61, 9935.631
62, 10855.903
63, 10821.54
64, 10442.053
65, 10629.453
66, 10822.211
67, 8680.8791
68, 9125.0514
69, 7914.6684
70, 7654.4225
71, 7790.7619
72, 8328.2136
73, 9565.2285
74, 10033.404
75, 9287.3206
76, 7031.6635
77, 6513.5583
78, 8265.7349
79, 7225.2906
80, 6464.2075
81, 6230.2503
82, 6529.5455
83, 5210.7041
84, 5284.2117
85, 5897.5587
86, 6180.9345
87, 7295.6959
88, 7517.5286
89, 8861.2066
90, 8255.6157
91, 8084.7857
92, 7271.5997
93, 6890.7137
94, 7022.7388
95, 6355.904
96, 6970.1742
97, 7464.8487
98, 7312.7824
99, 7380.0867
100, 7735.77
101, 6290.4956
102, 9368.2747
103, 6960.3044
104, 6691.5107
105, 9359.1423
106, 7741.8028
107, 8674.6436
108, 8675.7008
109, 8268.458
110, 6497.3794
111, 8208.3304
112, 7601.661
113, 6049.9785
114, 7934.0974
115, 7756.0747
116, 5586.0648
117, 5165.2886
118, 5051.3097
119, 5140.7109
120, 5471.6134
121, 5802.4477
122, 5316.7429
123, 4992.4104
124, 4829.8569
125, 5022.4722
126, 6520.7502
127, 5903.6818
128, 5999.2424
129, 5445.7008
130, 5213.0269
131, 5294.3433
132, 6540.7028
133, 5947.7873
134, 5531.8143
135, 5509.4482
136, 8424.9961
137, 5843.7352
138, 5482.7862
139, 5483.5943
140, 5768.1371
141, 6262.8755
142, 7012.7328
143, 6071.7518
144, 6196.8907
145, 6580.1882
146, 7142.0679
147, 7945.2039
148, 8366.8874
149, 9102.7564
150, 7812.4457
151, 7316.8555
152, 7067.4705
153, 7441.5792
154, 6695.0682
155, 6196.0055
156, 6179.4879
157, 5968.3935
158, 4784.1748
159, 3960.5153
160, 3500.3782
161, 3195.5559
162, 2779.3656
163, 1883.9797
164, 1804.532
165, 1791.1863
166, 1796.9791
167, 1842.4551
168, 1831.2413
169, 1793.1474
170, 1752.0571
171, 1792.5586
172, 1755.7248
173, 1781.5705
174, 1794.4545
175, 1837.8979
176, 1842.4231
177, 1827.2944
178, 1970.2809
179, 1838.3663
180, 1766.6605
181, 1867.9798
182, 1815.0003
183, 1755.0544
184, 1953.0707
185, 1992.438
186, 1749.7529
187, 1766.5413
188, 1850.9549
189, 1860.3994
190, 1857.198
191, 1805.7654
192, 1765.4152
193, 1708.3951
194, 1716.6829
195, 1771.6024
196, 1784.4194
197, 1797.9006
198, 1850.2035
199, 1869.6247
200, 1756.8859
201, 1845.7816
202, 1728.8737
203, 1874.8689
204, 1809.8283
205, 1729.7198
206, 2022.1387
207, 1871.9787
208, 1761.1267
209, 1751.1847
210, 1771.7655
211, 1807.0014
212, 1793.6677
213, 1827.3272
214, 1757.0336
215, 1856.0136
216, 1747.5162
217, 1860.4332
218, 1757.9547
219, 1858.7559
220, 1871.3641
221, 1771.4154
222, 1761.7721
223, 1900.4851
224, 1873.6325
225, 1763.0986
226, 1850.2372
227, 1738.0377
228, 1694.5934
229, 1772.0289
230, 1781.5541
231, 1707.5764
232, 1715.1519
233, 1757.078
234, 1842.9537
235, 1794.9417
236, 1810.1821
237, 1774.264
238, 1719.2322
239, 1736.2457
240, 1775.8296
241, 1702.3421
242, 1715.9802
243, 1758.7239
244, 1708.7004
245, 1802.6218
246, 1767.1874
247, 1760.0691
248, 1742.1824
249, 1707.8543
250, 1721.2286
251, 1743.6915
252, 1768.486
253, 1790.0595
254, 1844.2979
255, 1672.6701
256, 1920.1371
257, 1770.4753
258, 1738.4635
