#Frame Index,  Radius of gyration [pm]
0, 4976.5428
1, 5278.2005
2, 5058.6835
3, 4790.7435
4, 4278.4524
5, 3876.3383
6, 4317.2716
7, 3627.9871
8, 3978.9541
9, 3370.3208
10, 3295.6996
11, 3075.972
12, 2520.6466
13, 2400.5288
14, 2219.8032
15, 2105.5841
16, 1949.9661
17, 1778.305
18, 1967.8839
19, 1980.33
20, 1871.6129
21, 1862.3764
22, 1906.3153
23, 2110.104
24, 2017.3593
25, 2133.6024
26, 1916.9366
27, 1984.2717
28, 1912.1537
29, 2099.3786
30, 1948.1685
31, 1993.8989
32, 2005.5626
33, 2450.8059
34, 2882.4958
35, 3169.1453
36, 2903.3811
37, 3342.6073
38, 3027.8062
39, 3747.4035
40, 2881.9067
41, 3511.8318
42, 3566.4042
43, 3675.036
44, 2705.5841
45, 5406.6466
46, 4855.6039
47, 4455.8861
48, 3477.5336
49, 3521.2832
50, 4406.621
51, 3717.4116
52, 3421.0487
53, 2628.2524
54, 2877.1186
55, 2831.1248
56, 3121.4415
57, 2598.613
58, 2466.9988
59, 2930.2768
60, 2912.6451
61, 2976.5485
62, 3211.1124
63, 2840.6442
64, 2280.7663
65, 2677.3667
66, 2335.4856
67, 3402.1917
68, 2560.312
69, 2280.7885
70, 2822.2282
71, 2472.4387
72, 2129.5672
73, 2106.5072
74, 2075.6196
75, 2418.8663
76, 3298.2601
77, 4382.0072
78, 4831.8753
79, 4023.2958
80, 3271.4168
81, 4022.694
82, 2084.0718
83, 4639.9202
84, 1946.0743
85, 1994.7417
86, 2624.2848
87, 2374.1436
88, 1855.7699
89, 2597.716
90, 2308.7776
91, 2733.1711
92, 1887.2668
93, 1946.7405
94, 1966.599
95, 1902.5364
96, 1968.8803
97, 1938.162
98, 1943.6607
99, 1967.5466
100, 2019.1825
101, 1886.6385
102, 1840.5735
103, 1808.7481
104, 1848.8102
105, 1801.7379
106, 1893.0086
107, 1954.8
108, 1931.1493
109, 1823.4477
110, 1933.2952
111, 1836.3834
112, 2002.202
113, 1862.9127
114, 2558.9063
115, 2001.2385
116, 1791.1125
117, 1932.8705
118, 1874.0734
119, 1783.7822
120, 1748.8954
121, 1759.6345
122, 1892.0776
123, 1802.9231
124, 1860.4402
125, 1865.9526
126, 1843.4048
127, 1856.8425
128, 1855.2822
129, 2059.1812
130, 1935.3803
131, 1783.7464
132, 1864.7421
133, 1812.4001
134, 1833.5407
135, 1916.983
136, 1881.3496
137, 1808.3702
138, 1790.8218
139, 1944.8169
140, 1943.1155
141, 1889.9756
142, 1798.9741
143, 1723.0267
144, 1819.5568
145, 1807.794
146, 1833.7817
147, 2037.5792
148, 1929.3787
149, 1854.4128
150, 1815.6688
151, 1877.25
152, 1777.1544
153, 1909.8258
154, 1847.3763
155, 1846.089
156, 1921.2589
157, 1839.5792
158, 1891.4135
159, 1846.2268
160, 1816.3538
161, 1880.8601
162, 1949.0669
163, 1943.2306
164, 1911.7785
165, 1764.0818
166, 1800.7899
167, 1923.4298
168, 1997.4962
