#Frame Index,  Radius of gyration [pm]
0, 4669.9615
1, 5150.6197
2, 4796.6237
3, 4456.9912
4, 4444.6322
5, 4051.4734
6, 3239.1108
7, 3255.3436
8, 3705.0543
9, 3794.7653
10, 4012.4046
11, 3812.0259
12, 2641.7246
13, 4743.6004
14, 2959.2398
15, 3683.5661
16, 2360.7932
17, 2159.749
18, 2502.1337
19, 2274.2492
20, 2345.7511
21, 3499.5923
22, 4062.0871
23, 2731.6286
24, 3548.4322
25, 3676.2036
26, 3221.0522
27, 2914.9649
28, 3513.7733
29, 4205.1122
30, 3386.6999
31, 2988.4693
32, 3680.939
33, 3839.2905
34, 4104.8052
35, 3575.9514
36, 2989.948
37, 3752.9999
38, 3499.8643
39, 2536.5307
40, 2739.6749
41, 2543.1592
42, 2157.0007
43, 2241.2298
44, 2449.4607
45, 2297.7446
46, 2072.8553
47, 2175.4872
48, 2334.0645
49, 2566.5472
50, 3487.1551
51, 2065.939
52, 2210.6754
53, 2256.5468
54, 2368.1187
55, 2591.7528
56, 2275.0993
57, 2482.9331
58, 2489.0519
59, 2979.3946
60, 3762.1519
61, 2436.6088
62, 2626.8043
63, 3304.2488
64, 2452.1083
65, 2175.5781
66, 2083.9695
67, 2849.0043
68, 2337.6808
69, 3114.6094
70, 3374.1121
71, 2984.9376
72, 3069.0895
73, 2905.0142
74, 2453.6303
75, 2305.0221
76, 3220.5173
77, 2769.3363
78, 2407.9612
79, 2388.73
80, 2642.8046
81, 2513.0642
82, 3096.9241
83, 2862.4346
84, 2601.9233
85, 2293.7236
86, 2667.3951
87, 2478.9728
88, 2419.5742
89, 2325.5868
90, 3855.1244
91, 3499.73
92, 5753.0199
93, 5460.433
94, 5194.7645
95, 3700.0591
96, 2282.5486
97, 3098.715
98, 2334.5251
99, 2355.0006
100, 2113.3982
101, 2128.8315
102, 2090.2867
103, 2212.7137
104, 2103.2657
105, 2219.2929
106, 4636.8875
107, 4381.5453
108, 4806.6369
109, 3697.7635
110, 2391.4149
111, 2461.6332
112, 3338.5383
113, 2564.4422
114, 2577.1134
115, 2271.8522
116, 2152.0241
117, 2061.2023
118, 2219.5143
119, 2281.8937
120, 2273.0054
121, 2140.2616
122, 2237.1
123, 2778.2114
124, 2133.9529
125, 2077.2951
126, 2440.8505
127, 2184.5248
128, 2295.296
129, 2600.8737
130, 2173.7889
131, 2150.7672
132, 2017.5825
133, 2207.4425
134, 2038.5711
135, 3274.6703
136, 2175.7077
137, 2108.7343
138, 1934.9671
139, 2124.6243
140, 2292.0131
141, 2031.4244
142, 2013.4533
143, 2082.2977
144, 1986.3646
145, 2055.1245
146, 2099.3358
147, 2124.8859
148, 2127.6275
149, 2005.2718
150, 1960.188
151, 1952.1017
152, 1942.4192
153, 2075.9592
154, 2512.2192
155, 2134.1292
156, 2058.7949
157, 1968.639
158, 2092.4067
159, 1988.9369
160, 2053.3488
161, 2091.1511
162, 2053.8547
163, 2223.6527
164, 2011.7407
165, 2031.7251
166, 2144.9736
167, 2129.1803
168, 2008.5739
169, 1945.4783
170, 2018.7069
171, 2053.041
172, 3289.4442
173, 2433.2797
174, 2223.0523
175, 2213.358
176, 2299.9808
177, 2066.5744
178, 2693.3544
179, 2129.1899
180, 2875.012
181, 2118.9206
182, 1996.4413
183, 1950.561
184, 2006.9945
185, 2009.6622
186, 2045.4891
187, 2013.1483
188, 2005.2868
189, 1944.4373
190, 1953.3266
191, 1945.8512
192, 2746.2434
193, 1953.1282
194, 2082.2938
195, 2329.9026
196, 2186.7294
197, 2218.2169
198, 2269.8484
199, 1947.4166
200, 2007.4136
201, 2045.5719
202, 2081.1439
203, 2157.6646
204, 2051.7429
205, 2013.5522
206, 2221.0182
207, 2079.9722
208, 2125.366
209, 2114.6707
210, 1961.2758
211, 1895.4068
212, 2025.8456
213, 2108.8461
214, 1987.8299
215, 2083.45
216, 2060.4234
217, 1983.2574
218, 1937.4287
219, 1993.4954
220, 1990.6601
221, 2123.0612
222, 1980.1952
223, 2083.307
224, 2030.9519
225, 2043.1415
226, 2111.8472
227, 2233.1491
228, 2392.4986
229, 2356.7284
230, 2323.7825
231, 2093.2866
232, 1975.5434
233, 2072.9114
234, 1952.1653
235, 1924.8022
236, 2024.0983
237, 1997.632
238, 2015.3936
239, 1876.7827
240, 2034.3818
241, 2031.1605
242, 1958.6364
243, 2032.3289
244, 2014.6925
245, 2042.4581
246, 2113.7696
247, 2104.2245
248, 2073.379
249, 1927.5341
250, 1948.841
251, 1946.4507
252, 2075.6667
253, 2012.9921
254, 2001.366
255, 1951.8619
256, 1961.2702
257, 1919.9587
258, 2042.4023
259, 2086.0865
260, 2208.5488
261, 2253.4612
262, 2067.0567
263, 2020.3398
264, 2009.1869
265, 1953.8552
266, 2084.4041
267, 2152.7697
268, 2055.2387
269, 2113.3803
270, 2042.8826
271, 2103.8537
272, 2163.0032
273, 2004.4589
274, 2108.3327
275, 2062.0371
276, 2077.9596
277, 2044.3805
278, 1914.0145
279, 1887.6344
280, 1960.988
281, 2084.7394
282, 1987.4274
283, 1932.421
284, 1932.2565
285, 1967.883
286, 2040.3261
287, 1890.4539
288, 1967.4249
289, 2057.6964
290, 1891.4825
291, 2044.3267
292, 2017.0356
293, 1996.3042
294, 1985.4713
295, 1935.4076
296, 1919.686
297, 2007.5347
298, 2100.2463
299, 1945.7403
300, 2085.8739
301, 2030.5812
302, 1978.2533
303, 2012.5009
304, 2107.0215
305, 2100.6229
306, 2028.4366
307, 2011.4041
308, 2079.165
309, 2170.5662
310, 2297.7044
311, 2277.8651
312, 2229.9017
313, 2097.8757
314, 1929.1046
315, 1933.1032
316, 1914.2981
317, 1828.0666
318, 1939.0389
319, 1998.1305
320, 1895.708
321, 1988.517
322, 1951.5728
323, 1932.5743
324, 1922.7981
325, 1909.1517
326, 1910.0793
327, 1939.8633
328, 1926.8205
329, 1923.1607
330, 1875.6191
331, 1866.9652
332, 1850.1586
333, 1815.0558
334, 1895.9335
335, 1975.9989
336, 2005.4069
337, 1958.432
338, 1927.8495
339, 1923.0164
340, 1896.5482
341, 1933.5697
