#Frame Index,  Radius of gyration [pm]
0, 1568.2531
1, 1570.1713
2, 1569.7612
3, 1590.439
4, 1562.626
5, 1567.1438
6, 1567.8019
7, 1589.3447
8, 1581.9732
9, 1579.9921
10, 1570.4613
11, 1597.1833
12, 1563.1771
13, 1574.9446
14, 1575.7452
15, 1589.9826
16, 1566.4377
17, 1569.969
18, 1570.0667
19, 1583.9861
20, 1570.444
21, 1570.4603
22, 1580.9498
23, 1561.3
24, 1588.8934
25, 1571.5685
26, 1572.8977
27, 1577.2077
28, 1580.2127
29, 1571.4108
30, 1593.1801
31, 1571.8739
32, 1560.5066
33, 1569.1495
34, 1563.3446
35, 1581.647
36, 1577.4595
37, 1558.9088
38, 1575.3367
39, 1576.0949
40, 1572.2835
41, 1589.5765
42, 1577.0671
43, 1558.9657
44, 1587.6832
45, 1568.5856
46, 1572.7854
47, 1586.9589
48, 1584.6422
49, 1575.3508
50, 1579.201
