#Frame Index,  Radius of gyration [pm]
0, 1537.485
1, 1491.1696
2, 1571.8875
3, 1509.9102
4, 1466.8059
5, 1505.3363
6, 1650.3121
7, 1527.0014
8, 1532.5671
9, 1481.2443
10, 1487.9791
11, 1515.4901
12, 1478.6183
13, 1525.5145
14, 1480.084
15, 1483.9666
16, 1524.824
17, 1513.0305
18, 1480.0583
19, 1503.4917
20, 1565.4826
21, 1476.667
22, 1482.6378
23, 1510.197
24, 1493.8566
25, 1536.2646
26, 1489.9797
27, 1476.8665
28, 1600.0188
29, 1476.9328
30, 1489.7156
31, 1575.096
32, 1529.4733
33, 1496.0229
34, 1478.7446
35, 1519.6815
36, 1530.2825
37, 1487.8217
38, 1487.8269
39, 1484.8529
40, 1509.5782
41, 1485.8838
42, 1498.9004
43, 1513.0379
44, 1492.1873
45, 1531.8248
46, 1522.2824
47, 1505.7869
48, 1470.724
49, 1478.778
