#Frame Index,  Radius of gyration [pm]
0, 1524.5969
1, 1547.7602
2, 1541.9136
3, 1521.3428
4, 1550.0202
5, 1536.949
6, 1525.4589
7, 1545.9589
8, 1529.1896
9, 1514.8606
10, 1566.1317
11, 1531.0002
12, 1532.6084
13, 1539.6092
14, 1532.3665
15, 1526.1353
16, 1528.2634
17, 1527.1385
18, 1531.0405
19, 1517.9416
20, 1528.7777
21, 1528.7329
22, 1543.3126
23, 1527.8842
24, 1531.2569
25, 1523.8944
26, 1542.6089
27, 1527.0577
28, 1525.06
29, 1547.2515
30, 1525.997
31, 1529.5839
32, 1521.9845
33, 1508.3984
34, 1520.7347
35, 1546.5447
36, 1518.7004
37, 1535.4348
38, 1528.8549
39, 1540.7629
40, 1526.4975
41, 1526.4779
42, 1539.5195
43, 1553.3124
44, 1538.7287
45, 1526.7915
46, 1538.0155
47, 1523.2508
48, 1568.9762
49, 1531.0384
50, 1532.8872
