#Frame Index,  Radius of gyration [pm]
0, 1641.1839
1, 1653.1832
2, 1657.6665
3, 1648.2465
4, 1669.433
5, 1670.4745
6, 1656.8152
7, 1662.5831
8, 1652.0503
9, 1643.3718
10, 1653.2328
11, 1647.9074
12, 1629.4655
13, 1634.9437
14, 1659.5315
15, 1663.8085
16, 1661.0523
17, 1657.5098
18, 1638.3164
19, 1628.3946
20, 1655.9706
21, 1659.3829
22, 1663.7709
23, 1695.1344
24, 1635.1991
25, 1707.5427
26, 1638.9271
27, 1647.432
28, 1658.6797
29, 1635.7353
30, 1648.914
31, 1641.9582
32, 1634.6008
33, 1642.9506
34, 1675.6855
35, 1650.0703
36, 1643.8524
37, 1667.3405
38, 1689.8247
39, 1627.6263
40, 1674.781
41, 1632.5068
42, 1650.3363
43, 1652.9314
44, 1655.2397
45, 1666.094
46, 1668.2912
47, 1655.8874
