#Frame Index,  Radius of gyration [pm]
0, 1602.793
1, 1612.1505
2, 1592.3364
3, 1665.1307
4, 1574.4113
5, 1594.3802
6, 1578.9656
7, 1583.6275
8, 1572.8769
9, 1602.2543
10, 1567.8567
11, 1593.2188
12, 1578.3447
13, 1592.9566
14, 1579.7553
15, 1590.628
16, 1622.3677
17, 1574.4056
18, 1578.8877
19, 1595.762
20, 1592.5116
21, 1597.0728
22, 1575.6953
23, 1580.6332
24, 1572.8908
25, 1603.2929
26, 1571.4332
27, 1578.2204
28, 1588.755
29, 1567.4059
30, 1570.1249
31, 1581.509
32, 1580.398
33, 1573.4426
34, 1579.9143
35, 1596.9301
36, 1574.7705
37, 1588.8796
38, 1580.0779
39, 1589.6546
40, 1584.4286
41, 1586.5094
42, 1596.5413
43, 1596.5422
44, 1587.5526
45, 1578.6617
46, 1587.4231
47, 1605.3297
48, 1568.3691
49, 1567.1599
