#Frame Index,  Radius of gyration [pm]
0, 1524.5792
1, 1547.7514
2, 1541.9026
3, 1521.336
4, 1550.0161
5, 1536.9367
6, 1525.4534
7, 1545.9534
8, 1529.1804
9, 1514.8465
10, 1566.1327
11, 1530.9919
12, 1532.6022
13, 1539.5954
14, 1532.3349
15, 1526.1228
16, 1528.2557
17, 1527.1275
18, 1531.0395
19, 1517.9286
20, 1528.7741
21, 1528.7363
22, 1543.3071
23, 1527.8782
24, 1531.2524
25, 1523.8895
26, 1542.6031
27, 1527.047
28, 1525.0507
29, 1547.2431
30, 1525.9626
31, 1529.5796
32, 1521.9798
33, 1508.387
34, 1520.7194
35, 1546.5426
36, 1518.6901
37, 1535.4335
38, 1528.8431
39, 1540.7553
40, 1526.4918
41, 1526.4741
42, 1539.5253
43, 1553.3075
44, 1538.7259
45, 1526.7856
46, 1538.0085
47, 1523.2424
48, 1568.9735
49, 1530.9888
50, 1532.881
