#Frame Index,  Radius of gyration [pm]
0, 1642.8479
1, 1654.502
2, 1660.4752
3, 1650.1686
4, 1671.3586
5, 1672.7926
6, 1660.4795
7, 1664.7631
8, 1654.5657
9, 1645.9772
10, 1655.2348
11, 1650.4356
12, 1632.2838
13, 1636.5403
14, 1661.0851
15, 1666.9911
16, 1664.7891
17, 1659.503
18, 1640.4402
19, 1631.1874
20, 1659.2176
21, 1662.9003
22, 1666.083
23, 1697.8463
24, 1638.3418
25, 1710.6114
26, 1641.9436
27, 1650.7497
28, 1661.3421
29, 1638.4356
30, 1651.1975
31, 1644.5664
32, 1636.3666
33, 1645.1247
34, 1678.9634
35, 1652.1339
36, 1646.3072
37, 1669.9715
38, 1692.8238
39, 1630.7714
40, 1677.6343
41, 1634.509
42, 1652.405
43, 1655.0643
44, 1657.8302
45, 1668.2578
46, 1670.3688
47, 1658.2091
