Frame,Cis count,Trans count
0,418,946
1,428,936
2,446,918
3,449,915
4,425,939
5,443,921
6,431,933
7,395,969
8,439,925
9,446,918
10,476,888
11,445,919
12,454,910
13,435,929
14,447,917
15,442,922
16,445,919
17,446,918
18,466,898
19,444,920
20,465,899
21,446,918
22,439,925
23,442,922
24,455,909
25,453,911
26,456,908
27,438,926
28,450,914
29,447,917
30,449,915
31,467,897
32,457,907
33,439,925
34,466,898
35,446,918
36,463,901
37,431,933
38,447,917
39,450,914
40,456,908
41,445,919
42,446,918
43,443,921
44,444,920
45,445,919
46,438,926
47,430,934
48,423,941
49,461,903
50,453,911
51,401,963
52,452,912
53,434,930
54,421,941
55,415,949
56,454,910
57,469,895
58,430,934
59,437,927
60,448,916
61,472,892
62,441,923
63,449,915
64,446,918
65,421,943
66,415,949
67,442,922
68,448,916
69,449,915
70,448,916
71,432,932
72,446,918
73,467,897
74,426,938
75,473,891
76,463,901
77,472,892
78,438,926
79,459,905
80,459,905
81,431,933
82,447,917
83,463,901
84,468,896
85,448,916
86,442,922
87,449,915
88,446,918
89,457,907
90,462,902
91,459,905
92,461,903
93,436,928
94,460,904
95,437,927
96,447,917
97,455,909
98,445,919
99,433,931
100,453,911
101,445,919
102,439,922
103,443,921
104,445,919
105,442,922
106,450,914
107,457,907
108,474,890
109,433,931
110,429,935
111,452,912
112,436,928
113,440,924
114,449,915
115,453,911
116,443,921
117,442,922
118,442,922
119,434,930
120,451,913
121,429,935
122,432,932
123,453,911
124,421,943
125,434,930
126,452,912
127,464,900
128,408,956
129,454,910
130,475,889
131,428,936
132,447,917
133,443,921
134,465,899
135,410,954
136,434,930
137,466,898
138,435,929
139,469,895
140,453,911
141,431,933
142,466,898
143,457,907
144,443,921
145,429,935
146,433,931
147,448,916
148,448,916
149,448,916
150,442,922
151,423,941
152,439,925
153,433,931
154,447,917
155,462,902
156,432,932
157,438,926
158,468,896
159,462,902
160,446,918
161,442,922
162,442,922
163,432,932
164,423,941
165,442,922
166,438,926
167,453,911
168,450,914
169,438,926
170,464,900
171,440,924
172,446,918
173,470,894
174,442,922
175,446,918
176,454,910
177,460,904
178,446,918
179,444,920
180,438,926
181,443,921
182,446,918
183,429,933
184,429,935
185,446,918
186,459,905
187,446,918
188,416,948
189,448,916
190,458,906
191,463,901
192,445,919
193,456,908
194,441,923
195,467,897
196,418,946
197,434,930
198,456,908
199,437,927
200,448,916
201,435,929
202,451,913
203,449,915
204,451,913
205,430,934
206,443,921
207,457,907
208,479,885
209,464,900
210,441,923
211,447,917
212,430,934
213,450,914
214,455,909
215,451,913
216,459,905
217,460,904
218,444,920
219,437,927
220,437,927
221,436,928
222,448,916
223,476,888
224,428,936
225,425,939
226,449,915
227,440,924
228,445,919
229,423,941
230,447,917
231,454,910
232,460,904
233,430,934
234,438,926
