Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
0,O,2.500,3.500,30.000,122
1,O,2.500,3.500,30.000,0
2,O,2.500,3.500,30.000,4
3,O,2.500,3.500,30.000,8
4,O,2.500,3.500,30.000,4
5,O,2.500,3.500,30.000,2
6,O,2.500,3.500,30.000,3
7,O,2.500,3.500,30.000,1
8,O,2.500,3.500,30.000,2
9,O,2.500,3.500,30.000,2
10,O,2.500,3.500,30.000,1
11,O,2.500,3.500,30.000,3
12,O,2.500,3.500,30.000,1
13,O,2.500,3.500,30.000,7
14,O,2.500,3.500,30.000,4
15,O,2.500,3.500,30.000,3
16,O,2.500,3.500,30.000,3
17,O,2.500,3.500,30.000,2
18,O,2.500,3.500,30.000,4
19,O,2.500,3.500,30.000,2
20,O,2.500,3.500,30.000,1
21,O,2.500,3.500,30.000,1
22,O,2.500,3.500,30.000,2
23,O,2.500,3.500,30.000,2
24,O,2.500,3.500,30.000,4
25,O,2.500,3.500,30.000,3
26,O,2.500,3.500,30.000,2
27,O,2.500,3.500,30.000,0
28,O,2.500,3.500,30.000,1
29,O,2.500,3.500,30.000,2
30,O,2.500,3.500,30.000,2
31,O,2.500,3.500,30.000,3
32,O,2.500,3.500,30.000,7
33,O,2.500,3.500,30.000,1
34,O,2.500,3.500,30.000,1
35,O,2.500,3.500,30.000,5
36,O,2.500,3.500,30.000,6
37,O,2.500,3.500,30.000,2
38,O,2.500,3.500,30.000,5
39,O,2.500,3.500,30.000,3
40,O,2.500,3.500,30.000,4
41,O,2.500,3.500,30.000,4
42,O,2.500,3.500,30.000,1
43,O,2.500,3.500,30.000,1
44,O,2.500,3.500,30.000,3
45,O,2.500,3.500,30.000,2
46,O,2.500,3.500,30.000,3
47,O,2.500,3.500,30.000,6
48,O,2.500,3.500,30.000,2
49,O,2.500,3.500,30.000,4
50,O,2.500,3.500,30.000,2
51,O,2.500,3.500,30.000,1
52,O,2.500,3.500,30.000,2
53,O,2.500,3.500,30.000,3
54,O,2.500,3.500,30.000,2
55,O,2.500,3.500,30.000,2
56,O,2.500,3.500,30.000,2
57,O,2.500,3.500,30.000,4
58,O,2.500,3.500,30.000,3
59,O,2.500,3.500,30.000,3
60,O,2.500,3.500,30.000,3
61,O,2.500,3.500,30.000,3
62,O,2.500,3.500,30.000,4
63,O,2.500,3.500,30.000,3
64,O,2.500,3.500,30.000,3
65,O,2.500,3.500,30.000,6
66,O,2.500,3.500,30.000,4
67,O,2.500,3.500,30.000,2
68,O,2.500,3.500,30.000,3
69,O,2.500,3.500,30.000,5
70,O,2.500,3.500,30.000,4
71,O,2.500,3.500,30.000,2
72,O,2.500,3.500,30.000,6
73,O,2.500,3.500,30.000,1
74,O,2.500,3.500,30.000,0
75,O,2.500,3.500,30.000,5
76,O,2.500,3.500,30.000,2
77,O,2.500,3.500,30.000,3
78,O,2.500,3.500,30.000,1
79,O,2.500,3.500,30.000,3
80,O,2.500,3.500,30.000,3
81,O,2.500,3.500,30.000,6
82,O,2.500,3.500,30.000,5
83,O,2.500,3.500,30.000,1
84,O,2.500,3.500,30.000,3
85,O,2.500,3.500,30.000,5
86,O,2.500,3.500,30.000,2
87,O,2.500,3.500,30.000,0
88,O,2.500,3.500,30.000,2
89,O,2.500,3.500,30.000,0
90,O,2.500,3.500,30.000,3
91,O,2.500,3.500,30.000,2
92,O,2.500,3.500,30.000,5
93,O,2.500,3.500,30.000,1
94,O,2.500,3.500,30.000,3
95,O,2.500,3.500,30.000,2
96,O,2.500,3.500,30.000,5
97,O,2.500,3.500,30.000,1
98,O,2.500,3.500,30.000,6
99,O,2.500,3.500,30.000,3
100,O,2.500,3.500,30.000,2
101,O,2.500,3.500,30.000,3
102,O,2.500,3.500,30.000,2
103,O,2.500,3.500,30.000,6
104,O,2.500,3.500,30.000,5
105,O,2.500,3.500,30.000,1
106,O,2.500,3.500,30.000,0
107,O,2.500,3.500,30.000,2
108,O,2.500,3.500,30.000,3
109,O,2.500,3.500,30.000,6
110,O,2.500,3.500,30.000,5
111,O,2.500,3.500,30.000,4
112,O,2.500,3.500,30.000,2
113,O,2.500,3.500,30.000,4
114,O,2.500,3.500,30.000,1
115,O,2.500,3.500,30.000,1
116,O,2.500,3.500,30.000,4
117,O,2.500,3.500,30.000,2
118,O,2.500,3.500,30.000,2
119,O,2.500,3.500,30.000,4
120,O,2.500,3.500,30.000,1
121,O,2.500,3.500,30.000,8
122,O,2.500,3.500,30.000,3
123,O,2.500,3.500,30.000,2
124,O,2.500,3.500,30.000,1
125,O,2.500,3.500,30.000,3
126,O,2.500,3.500,30.000,5
127,O,2.500,3.500,30.000,0
128,O,2.500,3.500,30.000,1
129,O,2.500,3.500,30.000,2
130,O,2.500,3.500,30.000,0
131,O,2.500,3.500,30.000,2
132,O,2.500,3.500,30.000,2
133,O,2.500,3.500,30.000,2
134,O,2.500,3.500,30.000,2
135,O,2.500,3.500,30.000,2
136,O,2.500,3.500,30.000,2
137,O,2.500,3.500,30.000,1
138,O,2.500,3.500,30.000,3
139,O,2.500,3.500,30.000,3
140,O,2.500,3.500,30.000,2
141,O,2.500,3.500,30.000,0
142,O,2.500,3.500,30.000,3
143,O,2.500,3.500,30.000,1
144,O,2.500,3.500,30.000,2
145,O,2.500,3.500,30.000,2
146,O,2.500,3.500,30.000,5
147,O,2.500,3.500,30.000,0
148,O,2.500,3.500,30.000,4
149,O,2.500,3.500,30.000,4
150,O,2.500,3.500,30.000,3
151,O,2.500,3.500,30.000,3
152,O,2.500,3.500,30.000,3
153,O,2.500,3.500,30.000,1
154,O,2.500,3.500,30.000,6
155,O,2.500,3.500,30.000,4
156,O,2.500,3.500,30.000,4
157,O,2.500,3.500,30.000,5
158,O,2.500,3.500,30.000,5
159,O,2.500,3.500,30.000,2
160,O,2.500,3.500,30.000,3
161,O,2.500,3.500,30.000,3
162,O,2.500,3.500,30.000,1
163,O,2.500,3.500,30.000,5
164,O,2.500,3.500,30.000,1
165,O,2.500,3.500,30.000,4
166,O,2.500,3.500,30.000,4
167,O,2.500,3.500,30.000,6
168,O,2.500,3.500,30.000,2
169,O,2.500,3.500,30.000,6
170,O,2.500,3.500,30.000,6
171,O,2.500,3.500,30.000,3
172,O,2.500,3.500,30.000,4
173,O,2.500,3.500,30.000,5
174,O,2.500,3.500,30.000,4
175,O,2.500,3.500,30.000,3
176,O,2.500,3.500,30.000,6
177,O,2.500,3.500,30.000,5
178,O,2.500,3.500,30.000,3
179,O,2.500,3.500,30.000,3
180,O,2.500,3.500,30.000,2
181,O,2.500,3.500,30.000,5
182,O,2.500,3.500,30.000,0
183,O,2.500,3.500,30.000,3
184,O,2.500,3.500,30.000,2
185,O,2.500,3.500,30.000,8
186,O,2.500,3.500,30.000,4
187,O,2.500,3.500,30.000,3
188,O,2.500,3.500,30.000,2
189,O,2.500,3.500,30.000,1
190,O,2.500,3.500,30.000,2
191,O,2.500,3.500,30.000,7
192,O,2.500,3.500,30.000,3
193,O,2.500,3.500,30.000,0
194,O,2.500,3.500,30.000,1
195,O,2.500,3.500,30.000,3
196,O,2.500,3.500,30.000,4
197,O,2.500,3.500,30.000,2
198,O,2.500,3.500,30.000,2
199,O,2.500,3.500,30.000,0
200,O,2.500,3.500,30.000,2
201,O,2.500,3.500,30.000,4
202,O,2.500,3.500,30.000,3
203,O,2.500,3.500,30.000,2
204,O,2.500,3.500,30.000,0
205,O,2.500,3.500,30.000,3
206,O,2.500,3.500,30.000,5
207,O,2.500,3.500,30.000,0
208,O,2.500,3.500,30.000,2
209,O,2.500,3.500,30.000,3
