Frame, Order Parameter S
0,0.189
1,0.231
2,0.195
3,0.210
4,0.250
5,0.221
6,0.175
7,0.265
8,0.197
9,0.220
10,0.151
11,0.256
12,0.229
13,0.240
14,0.208
15,0.221
16,0.209
17,0.227
18,0.293
19,0.243
20,0.244
21,0.227
22,0.192
23,0.206
24,0.193
25,0.179
26,0.260
27,0.186
28,0.137
29,0.232
30,0.216
31,0.180
32,0.253
33,0.204
34,0.198
35,0.163
36,0.183
37,0.184
38,0.217
39,0.206
40,0.170
41,0.179
42,0.206
43,0.202
44,0.195
45,0.249
46,0.225
47,0.221
48,0.200
49,0.228
50,0.183
51,0.215
52,0.172
53,0.191
54,0.236
55,0.207
56,0.228
57,0.227
58,0.210
59,0.210
60,0.188
61,0.205
62,0.220
63,0.212
64,0.218
65,0.177
66,0.179
67,0.177
68,0.176
69,0.158
70,0.160
71,0.277
72,0.236
73,0.234
74,0.251
75,0.193
76,0.169
77,0.200
78,0.218
79,0.264
80,0.183
81,0.190
82,0.196
83,0.211
84,0.189
85,0.191
86,0.254
87,0.184
88,0.219
89,0.230
90,0.218
91,0.215
92,0.196
93,0.183
94,0.134
95,0.221
96,0.238
97,0.256
98,0.214
99,0.209
100,0.180
101,0.202
102,0.206
103,0.200
104,0.194
105,0.198
106,0.198
107,0.221
108,0.189
109,0.211
110,0.194
111,0.196
112,0.242
113,0.191
114,0.236
115,0.204
116,0.157
117,0.209
118,0.247
119,0.224
120,0.231
121,0.232
122,0.217
123,0.227
124,0.201
125,0.223
126,0.215
127,0.199
128,0.236
129,0.269
130,0.192
131,0.176
132,0.236
133,0.210
134,0.240
135,0.208
136,0.204
137,0.179
138,0.258
139,0.171
140,0.240
141,0.224
142,0.181
143,0.230
144,0.190
145,0.189
146,0.198
147,0.220
148,0.187
149,0.229
150,0.209
151,0.191
152,0.257
153,0.204
154,0.180
155,0.211
156,0.209
157,0.193
158,0.224
159,0.187
160,0.234
161,0.198
162,0.187
163,0.215
164,0.230
165,0.225
166,0.222
167,0.196
168,0.185
169,0.182
170,0.213
171,0.190
172,0.240
173,0.177
174,0.173
175,0.187
176,0.203
177,0.236
178,0.192
179,0.220
180,0.252
181,0.206
182,0.169
183,0.179
184,0.182
185,0.211
186,0.250
187,0.174
188,0.195
189,0.193
190,0.199
191,0.185
192,0.246
193,0.232
194,0.190
195,0.219
196,0.232
197,0.252
198,0.150
199,0.187
200,0.238
201,0.238
202,0.168
203,0.192
204,0.250
205,0.166
206,0.167
207,0.198
208,0.193
209,0.125
210,0.242
211,0.241
212,0.182
213,0.206
214,0.194
215,0.208
216,0.197
217,0.156
218,0.173
219,0.224
220,0.236
221,0.209
222,0.192
223,0.184
224,0.230
225,0.174
226,0.169
227,0.220
228,0.215
229,0.228
230,0.226
231,0.206
232,0.199
233,0.184
234,0.239
235,0.230
236,0.172
237,0.210
238,0.196
239,0.202
240,0.194
241,0.154
242,0.169
243,0.203
244,0.247
245,0.240
246,0.223
247,0.232
248,0.218
249,0.205
250,0.202
251,0.219
252,0.182
253,0.244
254,0.185
255,0.204
256,0.199
257,0.223
258,0.135
259,0.187
260,0.225
261,0.202
262,0.203
263,0.165
264,0.237
265,0.204
266,0.155
267,0.199
268,0.211
269,0.201
270,0.188
271,0.169
272,0.234
273,0.193
274,0.172
275,0.230
276,0.194
277,0.219
