Frame,Cis count,Trans count
0,461,903
1,480,884
2,459,905
3,459,905
4,460,904
5,486,878
6,459,905
7,462,902
8,455,909
9,472,892
10,477,887
11,490,874
12,445,919
13,461,903
14,475,889
15,456,908
16,453,911
17,493,871
18,448,916
19,447,917
20,469,895
21,465,899
22,473,891
23,471,893
24,466,898
25,474,890
26,467,897
27,469,895
28,438,926
29,456,908
30,468,896
31,463,901
32,473,891
33,457,907
34,480,884
35,482,882
36,488,876
37,469,895
38,463,901
39,463,901
40,454,910
41,485,879
42,483,881
43,474,890
44,439,925
45,470,894
46,471,893
47,454,910
48,467,897
49,456,908
50,453,911
51,479,885
52,460,904
53,455,909
54,449,915
55,478,886
56,486,878
57,465,899
58,488,876
59,436,928
60,449,915
61,477,887
62,458,906
63,463,901
64,454,910
65,461,903
66,452,912
67,463,901
68,460,904
69,462,902
70,463,901
71,468,896
72,449,915
73,439,925
74,420,944
75,440,924
76,461,903
77,449,915
78,454,910
79,452,912
80,459,905
81,465,899
82,464,900
83,453,911
84,467,897
85,466,898
86,450,914
87,454,910
88,463,901
89,458,906
90,438,926
91,432,932
92,450,914
93,455,909
94,455,909
95,444,920
96,470,894
97,465,899
98,468,896
99,445,919
100,479,885
101,433,931
102,425,939
103,438,926
104,428,936
105,440,924
106,427,937
107,454,910
108,462,902
109,463,901
110,428,936
111,446,918
112,448,916
113,459,905
114,455,909
115,456,905
116,454,910
117,438,926
118,446,918
119,459,905
120,437,927
121,451,913
122,448,916
123,448,916
124,440,924
125,437,927
126,440,924
127,446,918
128,449,915
129,445,919
130,464,900
131,468,896
132,446,918
133,433,931
134,470,894
135,449,915
136,475,889
137,450,914
138,436,928
139,450,914
140,447,917
141,427,937
142,445,919
143,459,905
144,461,903
145,420,944
146,416,948
147,408,956
148,444,920
149,448,916
150,441,923
151,460,904
152,426,938
153,435,929
154,444,920
155,446,918
156,440,924
157,445,919
158,452,912
159,436,928
160,487,877
161,475,889
162,436,928
163,447,917
164,452,912
165,427,937
166,429,935
167,465,899
168,439,925
169,454,910
170,472,892
171,429,935
172,451,913
173,441,923
174,454,910
175,438,926
176,450,914
177,430,934
178,452,912
179,460,904
180,439,925
181,441,923
182,448,916
183,464,900
184,424,940
185,447,917
186,416,948
187,422,942
188,455,909
189,466,898
190,419,945
191,446,918
192,456,908
193,420,944
194,453,911
195,456,908
196,438,926
197,451,913
198,432,932
199,454,910
200,440,924
201,451,913
202,460,904
203,460,904
204,439,925
205,447,917
206,463,901
207,489,875
208,438,926
209,441,923
210,466,898
211,447,917
212,451,913
213,427,937
214,438,926
215,442,922
216,476,888
217,455,909
218,455,909
219,465,899
220,460,904
221,446,918
222,450,914
223,469,895
224,459,905
225,481,883
226,435,929
227,476,888
228,459,905
229,433,931
230,460,904
231,470,894
232,478,886
233,433,931
234,449,915
235,437,927
236,457,907
237,465,899
238,427,937
239,458,906
240,454,910
241,443,921
242,455,909
243,460,904
244,458,906
245,461,903
246,442,922
247,470,894
248,454,910
249,427,937
250,454,910
251,463,901
252,456,908
253,453,911
254,447,917
255,441,923
256,428,936
257,439,925
258,438,926
259,460,904
260,452,912
261,441,923
262,450,914
263,479,885
264,424,940
265,445,919
266,447,917
267,450,914
268,473,891
269,481,883
270,446,918
271,460,904
272,443,921
273,450,914
274,434,930
275,427,937
276,447,917
277,465,899
278,438,926
279,443,921
280,432,932
281,427,937
282,439,925
283,449,915
284,465,899
285,430,934
286,440,924
287,450,914
288,460,904
289,434,930
290,443,921
291,424,940
292,445,919
293,469,895
294,411,953
295,450,914
296,450,914
297,445,919
298,424,940
299,469,895
300,450,914
301,427,937
302,427,937
303,451,913
304,451,913
305,447,917
306,461,903
307,459,905
308,447,917
309,468,896
310,460,904
311,457,907
312,438,926
313,437,927
314,443,921
315,444,920
316,441,923
317,425,939
318,441,923
319,461,903
320,417,947
321,459,905
322,463,901
323,420,944
324,436,928
325,451,913
326,456,908
327,433,931
328,426,938
329,439,925
330,431,933
331,416,948
332,454,910
333,452,912
334,438,926
335,419,945
336,452,912
337,433,931
338,450,914
339,444,920
340,471,893
341,425,939
342,450,914
343,458,906
344,456,908
345,477,887
346,453,911
347,457,907
348,440,924
349,442,922
350,453,911
351,431,933
352,438,926
353,422,942
354,430,934
355,451,913
356,409,955
357,442,922
358,413,951
359,420,944
360,443,921
361,459,905
362,457,907
363,424,940
364,461,903
365,427,937
366,444,920
367,436,928
368,446,918
369,477,887
370,464,900
371,435,929
372,431,933
373,441,923
374,460,904
375,435,929
376,454,910
377,462,902
378,439,925
379,442,922
380,451,913
381,460,904
382,472,892
383,449,915
384,440,924
385,448,916
386,451,913
387,439,925
388,417,947
389,437,927
390,454,910
391,435,929
392,440,924
393,433,931
394,423,941
395,440,924
396,426,938
397,429,935
398,432,932
399,435,929
