Frame,Cis count,Trans count
0,360,684
1,363,690
2,345,708
3,366,687
4,364,689
5,359,694
6,324,729
7,345,708
8,349,704
9,349,704
10,362,691
11,353,700
12,363,690
13,353,700
14,359,694
15,344,709
16,354,699
17,379,674
18,363,690
19,370,683
20,342,711
21,372,681
22,362,691
23,347,706
24,362,691
25,353,700
26,360,693
27,344,709
28,341,712
29,387,666
30,351,702
31,358,695
32,370,683
33,350,703
34,360,693
35,362,691
36,348,705
37,355,698
38,357,696
39,374,679
40,358,695
41,346,707
42,350,703
43,357,696
44,367,686
45,357,696
46,344,709
47,363,690
48,379,674
49,348,705
50,339,714
51,356,697
52,373,680
53,349,704
54,347,706
55,348,705
56,366,687
57,362,691
58,343,710
59,353,700
60,355,698
61,329,724
62,352,701
63,374,679
64,347,706
65,368,685
66,362,691
67,344,709
68,354,699
69,357,696
70,358,695
71,361,692
72,355,698
73,367,686
74,367,686
75,369,684
76,365,688
77,346,707
78,384,669
79,334,719
80,345,708
81,356,697
82,368,685
83,359,694
84,348,705
85,381,672
86,365,688
87,339,714
88,356,697
89,353,700
90,346,707
91,332,721
92,361,692
93,366,687
94,360,693
95,351,702
96,326,727
97,350,703
98,364,689
99,374,679
100,352,701
101,378,675
102,358,695
103,349,704
104,350,703
105,358,695
106,374,679
107,366,687
108,366,687
109,355,698
110,338,715
111,374,679
112,358,695
113,356,697
114,342,711
115,348,705
116,366,687
117,362,691
118,364,689
119,353,700
120,360,693
121,371,682
122,367,686
123,369,684
124,351,702
125,351,702
126,339,714
127,364,689
128,350,703
129,338,715
130,354,699
131,351,702
132,342,711
133,378,675
134,329,724
135,336,717
136,344,709
137,345,708
138,363,690
139,367,686
140,342,711
141,336,717
142,402,651
143,347,706
144,358,695
145,336,717
146,353,700
147,354,699
148,335,718
149,330,723
150,342,711
151,361,692
152,366,687
153,388,665
154,347,706
155,343,710
156,370,683
157,365,688
158,354,699
159,345,708
160,347,706
161,357,696
162,347,706
163,345,708
164,358,695
165,349,704
166,355,698
167,356,697
168,360,693
169,357,696
170,351,702
171,336,717
172,335,718
173,356,697
174,355,698
175,329,724
176,343,710
177,371,682
178,347,706
179,339,714
180,350,703
181,346,707
182,346,707
183,332,721
184,352,701
185,348,705
186,356,697
187,330,723
188,337,716
189,341,712
190,348,705
191,367,686
192,336,717
193,342,711
194,337,716
195,323,730
196,346,707
197,350,703
198,338,715
199,348,705
200,364,689
201,342,711
202,341,712
203,359,694
204,365,688
205,335,718
206,365,688
207,352,701
208,340,713
209,328,725
210,336,717
211,337,716
212,352,701
213,347,706
214,348,705
215,365,688
216,353,700
217,343,710
218,359,694
219,325,728
220,372,681
221,378,675
222,350,703
223,358,695
224,367,686
225,362,691
226,336,717
227,329,724
228,356,697
229,312,741
230,337,716
231,337,716
232,333,720
233,341,712
234,339,714
235,339,714
236,342,711
237,345,708
238,340,713
239,347,706
240,349,704
241,344,709
242,338,715
243,338,715
244,361,692
245,338,715
246,332,721
247,353,700
248,342,711
249,364,689
250,341,712
251,337,716
252,331,722
253,334,719
254,346,707
255,338,715
256,340,713
257,352,701
258,344,709
259,341,712
260,337,716
261,338,715
262,352,701
263,346,707
264,327,726
265,333,720
266,327,726
267,341,712
268,343,710
269,355,698
270,345,708
271,330,723
272,332,721
273,366,687
274,329,724
275,336,717
276,334,719
277,347,706
278,326,727
279,327,726
280,343,710
281,347,706
282,352,701
283,331,722
284,328,725
285,350,703
286,345,708
287,331,722
288,375,678
289,297,756
290,343,710
291,334,719
292,336,717
293,312,741
294,330,723
295,337,716
296,337,716
297,332,721
298,351,702
299,341,712
300,332,721
301,328,725
302,367,686
303,332,721
304,351,702
305,352,701
306,345,708
307,326,727
308,343,710
309,348,705
310,352,701
311,344,709
312,340,713
313,335,718
314,334,719
315,352,701
316,334,719
317,339,714
318,326,727
319,335,718
320,348,705
321,361,692
322,345,708
323,335,718
324,356,697
325,352,701
326,315,738
327,343,710
328,331,722
329,343,710
330,332,721
331,350,703
332,330,723
333,355,698
334,335,718
335,356,697
336,334,719
337,346,707
338,357,696
339,334,719
340,333,720
341,359,694
342,357,696
343,331,722
344,361,692
345,333,720
346,319,734
347,336,717
348,329,724
349,319,734
350,326,727
351,346,707
352,373,680
353,345,708
354,320,733
355,362,691
356,327,726
357,344,709
358,349,704
359,366,687
360,325,728
361,361,692
362,313,740
363,340,713
364,346,707
365,334,719
366,348,705
367,339,714
368,341,712
369,350,703
370,330,723
371,342,711
372,326,727
373,342,711
374,354,699
375,332,721
