Frame,Cis count,Trans count
0,265,483
1,290,462
2,307,447
3,287,467
4,277,477
5,278,476
6,273,481
7,290,464
8,284,470
9,289,465
10,275,479
11,273,481
12,292,462
13,264,490
14,285,469
15,283,471
16,273,481
17,283,471
18,267,487
19,281,473
20,281,473
21,274,480
22,286,468
23,271,483
24,294,460
25,274,480
26,280,474
27,274,480
28,273,481
29,282,472
30,289,465
31,281,473
32,275,479
33,295,459
34,286,468
35,290,464
36,283,471
37,284,470
38,296,458
39,274,480
40,277,477
41,282,472
42,288,466
43,280,474
44,267,487
45,270,484
46,274,480
47,288,466
48,283,471
49,286,468
50,286,468
51,275,479
52,291,463
53,284,470
54,291,463
55,279,475
56,273,481
57,289,465
58,285,469
59,284,470
60,281,473
61,260,494
62,283,471
63,270,484
64,293,461
65,297,457
66,294,460
67,277,477
68,269,485
69,282,472
70,283,471
71,271,483
72,277,477
73,280,474
74,282,472
75,283,471
76,290,464
77,282,472
78,278,476
79,279,475
80,274,480
81,293,461
82,290,464
83,279,475
84,272,482
85,283,471
86,280,474
87,285,469
88,287,467
89,283,471
90,280,474
91,295,459
92,288,466
93,293,461
94,284,470
95,278,476
96,269,485
97,287,467
98,280,474
99,297,457
100,289,465
101,292,462
102,280,474
103,273,481
104,284,470
105,296,458
106,290,464
107,282,472
108,270,484
109,268,486
110,286,468
111,282,472
112,279,475
113,303,451
114,307,447
115,293,461
116,281,473
117,293,461
118,273,481
119,274,480
120,291,463
121,277,477
122,289,465
123,297,457
124,274,480
125,287,467
126,285,469
127,272,482
128,288,466
129,279,475
130,283,471
131,291,463
132,298,456
133,293,461
134,288,466
135,291,463
136,302,452
137,294,460
138,282,472
139,279,475
140,285,469
141,293,461
142,290,464
143,293,461
144,288,466
145,297,457
146,296,458
147,306,448
148,285,469
149,276,478
150,286,468
151,310,444
152,283,471
153,285,469
154,281,473
155,271,483
156,288,466
157,279,475
158,299,455
159,285,469
160,288,466
161,285,469
162,284,470
163,277,477
164,276,478
165,269,485
166,290,464
167,293,461
168,289,465
169,293,461
170,293,461
171,303,451
172,299,455
173,278,476
174,298,456
175,289,465
176,285,469
177,278,476
178,272,482
179,291,463
180,282,472
181,279,475
182,293,461
183,298,456
184,289,465
185,281,473
186,290,464
187,285,469
188,280,474
189,288,466
190,288,466
191,304,450
192,283,471
193,281,473
194,291,463
195,287,467
196,287,467
197,269,485
198,292,462
199,298,456
200,282,472
201,283,471
202,265,489
203,304,450
204,297,457
205,287,467
206,307,447
207,287,467
208,288,466
209,291,463
210,302,452
211,299,455
212,280,474
213,278,476
214,290,464
215,295,459
216,301,453
217,304,450
218,299,455
219,301,453
220,304,450
221,292,462
222,288,466
223,302,452
224,290,464
225,291,463
226,273,481
227,282,472
228,300,454
229,284,470
230,294,460
231,294,460
232,295,459
233,301,453
234,301,453
235,289,465
236,291,463
237,286,468
238,288,466
239,290,464
240,297,457
241,286,468
242,293,461
243,292,462
244,285,469
245,292,462
246,279,475
247,291,463
248,286,468
249,284,470
250,288,466
251,283,471
252,296,458
253,295,459
254,273,481
255,290,464
256,289,465
257,281,473
258,294,460
259,284,470
260,284,470
261,286,468
262,289,465
263,268,486
264,284,470
265,286,468
266,293,461
267,286,468
268,285,469
269,296,458
270,297,457
271,288,466
272,285,469
273,288,466
274,292,462
275,307,447
276,292,462
277,288,466
278,274,480
279,291,463
280,301,453
281,288,466
282,287,467
283,296,458
284,294,460
285,297,457
286,296,458
287,281,473
288,288,466
289,300,454
290,282,472
291,279,475
292,293,461
293,289,465
294,302,452
295,301,453
296,283,471
297,297,457
298,306,448
299,279,475
300,286,468
301,279,475
302,293,461
303,279,475
304,283,471
305,275,479
306,287,467
307,282,472
308,287,467
309,290,464
310,280,474
311,291,463
312,291,463
313,283,471
314,289,465
315,289,465
316,289,465
317,295,459
318,297,457
319,295,459
320,289,465
321,286,468
322,293,461
323,293,461
324,294,460
325,289,465
326,293,461
327,295,459
328,302,452
329,301,453
330,293,461
331,290,464
332,292,462
333,291,463
334,286,468
335,286,468
336,299,455
337,310,444
338,289,465
339,292,462
340,289,465
341,286,468
342,299,455
343,301,453
344,304,450
345,298,456
346,296,458
347,299,455
348,294,460
349,284,470
350,292,462
351,302,452
352,288,466
353,279,475
354,289,465
355,301,453
356,308,446
357,297,457
358,298,456
359,315,439
360,302,452
361,288,466
362,296,458
363,289,465
364,284,470
365,295,459
366,296,458
367,299,455
368,296,458
369,292,462
370,291,463
371,300,454
372,295,459
373,315,439
374,291,463
375,297,457
376,304,450
377,294,460
378,296,458
379,297,457
380,302,452
381,286,468
382,296,458
383,298,456
384,298,456
385,302,452
386,311,443
387,294,460
388,296,458
389,305,449
390,284,470
391,301,453
392,302,452
393,279,475
394,301,453
395,302,452
396,301,453
397,289,465
398,296,458
399,289,465
400,296,458
401,292,462
402,288,466
403,292,462
404,303,451
405,297,457
406,287,467
407,305,449
408,299,455
409,283,471
410,296,458
411,305,449
412,310,444
413,305,449
414,288,466
415,295,459
416,295,459
417,292,462
418,288,466
419,285,469
420,281,473
421,296,458
422,305,449
423,296,458
424,291,463
425,297,457
426,292,462
427,301,453
428,294,460
429,297,457
430,298,456
431,307,447
432,297,457
433,298,456
434,307,447
435,305,449
436,298,456
437,303,451
438,303,451
439,297,457
440,306,448
441,304,450
442,305,449
443,300,454
444,298,456
445,301,453
446,303,451
447,297,457
448,305,449
449,303,451
450,303,451
451,287,467
452,303,451
453,304,450
454,292,462
455,292,462
456,292,462
457,284,470
458,299,455
459,279,475
460,292,462
461,299,455
462,298,456
463,295,459
464,303,451
465,313,441
466,291,463
467,297,457
468,297,457
469,300,454
470,297,457
471,301,453
472,298,456
473,310,444
474,292,462
475,302,452
476,310,444
477,306,448
478,300,454
479,298,456
480,297,457
481,299,455
482,295,459
483,292,462
484,298,456
485,305,449
486,294,460
487,292,462
488,301,453
489,310,444
490,292,462
491,299,455
492,298,456
493,307,447
494,298,456
495,296,458
496,297,457
497,293,461
498,291,463
499,301,453
500,296,458
501,292,462
502,311,443
503,298,456
504,308,446
505,299,455
506,302,452
