Frame,Cis count,Trans count
0,172,347
1,173,343
2,187,329
3,190,326
4,174,345
5,168,348
6,151,365
7,158,358
8,171,345
9,169,347
10,177,339
11,169,347
12,176,340
13,165,351
14,172,344
15,168,348
16,165,351
17,175,341
18,178,338
19,164,352
20,157,359
21,175,341
22,171,345
23,180,336
24,176,340
25,187,329
26,165,351
27,154,347
28,172,344
29,172,344
30,179,337
31,155,361
32,172,344
33,173,343
34,154,362
35,163,353
36,161,355
37,178,338
38,173,343
39,176,343
40,186,330
41,172,344
42,157,359
43,168,348
44,166,350
45,158,358
46,165,351
47,175,341
48,165,351
49,158,358
50,162,354
51,169,347
52,168,348
53,185,331
54,169,347
55,157,359
56,157,359
57,168,348
58,149,367
59,164,352
60,168,348
61,166,350
62,167,349
63,157,359
64,159,332
65,176,340
66,199,317
67,166,350
68,175,341
69,164,352
70,182,334
71,156,360
72,162,354
73,164,352
74,171,345
75,160,356
76,167,349
77,163,353
78,151,365
79,169,347
80,157,359
81,156,360
82,170,346
83,156,360
84,178,338
85,182,334
86,171,345
87,167,316
88,163,353
89,169,347
90,194,322
91,168,348
92,172,344
93,161,355
94,170,346
95,156,360
96,166,350
97,163,353
98,161,355
99,157,359
100,175,341
101,155,361
102,172,344
103,163,353
104,165,351
105,170,346
106,167,349
107,160,359
108,162,354
109,169,347
110,154,362
111,166,350
112,175,341
113,153,363
114,154,362
115,166,350
116,173,343
117,179,337
118,170,346
119,183,333
120,161,355
121,167,349
122,170,346
123,169,334
124,159,357
125,172,344
126,171,336
127,155,361
128,179,337
129,165,351
130,158,358
131,181,335
132,177,339
133,154,362
134,181,335
135,172,344
136,152,364
137,161,355
138,174,342
139,156,360
140,174,342
141,176,340
142,171,345
143,176,340
144,168,348
145,158,358
146,160,356
147,173,343
148,153,363
149,161,355
150,166,350
151,170,346
152,184,332
153,164,352
154,170,346
155,179,337
156,159,357
157,165,351
158,181,335
159,148,368
160,153,363
161,166,350
162,168,348
163,151,365
164,157,359
165,161,355
166,168,348
167,170,346
168,165,351
169,171,345
170,178,338
171,165,351
172,162,354
173,164,352
174,171,345
175,172,344
176,168,348
177,185,331
178,164,352
179,169,347
180,170,346
181,166,350
182,172,344
183,182,334
184,182,334
185,172,344
186,167,349
187,171,345
188,165,351
189,189,327
190,169,347
191,177,339
192,175,341
193,173,343
194,176,340
195,184,332
196,147,369
197,164,352
198,169,347
199,153,363
200,159,357
201,175,341
202,182,329
203,164,352
204,175,341
205,172,344
206,156,360
207,174,342
208,169,347
209,172,344
210,166,350
211,155,361
212,176,340
213,181,335
214,180,336
215,178,338
216,168,348
217,164,352
218,173,343
219,177,339
220,172,344
221,165,351
222,169,347
223,168,348
224,160,356
225,170,346
226,176,340
227,177,339
228,165,351
229,167,349
230,174,342
231,162,354
232,175,341
233,156,360
234,169,347
235,183,333
236,174,342
237,179,340
238,163,353
239,174,342
240,175,341
241,178,338
242,171,345
243,182,334
244,176,340
245,176,340
246,168,348
247,173,343
248,170,346
249,165,351
250,159,357
251,170,346
252,176,340
253,183,333
254,176,340
255,167,349
256,161,355
257,164,352
258,165,351
259,175,341
260,168,348
261,168,348
262,165,351
263,163,353
264,163,353
265,161,355
266,173,343
267,170,346
268,162,354
269,160,356
270,164,352
271,166,350
272,162,354
273,176,340
274,154,362
275,174,342
276,178,338
277,178,338
278,166,350
279,180,336
280,164,352
281,167,349
282,172,344
283,158,358
284,161,355
285,162,354
286,167,349
287,178,338
288,190,326
289,166,350
290,177,339
291,159,357
292,163,353
293,176,340
294,168,348
295,164,352
296,173,343
297,168,348
298,192,324
299,189,327
300,169,347
301,169,347
302,164,352
303,172,344
304,169,347
305,170,346
306,163,353
307,178,338
308,164,352
309,168,348
310,154,362
311,154,362
312,160,356
313,158,358
314,177,339
315,167,349
316,164,352
317,175,341
318,184,332
319,164,352
320,171,345
321,164,352
322,162,354
323,161,355
324,175,341
325,170,346
326,180,336
327,168,348
328,176,340
329,175,341
330,165,351
331,172,344
332,160,356
333,183,333
334,176,340
335,172,344
336,180,336
337,177,339
338,156,360
339,165,351
340,162,354
341,163,353
342,177,339
343,167,349
344,165,351
345,166,350
346,168,348
347,170,346
348,181,335
349,169,347
350,164,352
351,165,351
352,167,349
353,178,338
354,163,353
355,167,349
356,175,341
357,163,353
358,167,349
359,161,355
360,165,351
361,168,348
362,159,357
363,166,350
364,186,330
365,165,351
366,178,338
367,162,354
368,172,344
369,165,351
370,162,354
371,163,353
372,165,351
373,160,356
374,183,333
375,179,337
376,164,352
377,178,338
378,170,346
379,171,345
380,162,354
381,165,351
382,165,351
383,177,339
384,166,350
385,174,342
386,180,336
387,187,329
388,185,331
389,190,326
390,166,350
391,169,347
392,173,343
393,176,340
394,168,348
395,165,351
396,169,347
397,176,340
398,170,346
399,154,362
400,175,341
401,147,369
402,153,363
403,175,341
404,178,338
405,160,356
406,155,361
407,157,359
408,153,363
409,166,350
410,154,362
411,167,349
412,168,348
413,182,334
414,168,348
415,180,336
416,171,345
417,175,341
418,162,354
419,162,354
420,172,344
421,160,356
422,163,353
423,157,359
424,164,352
425,176,340
426,184,332
427,169,347
428,174,342
429,154,362
430,173,343
431,170,346
432,166,350
433,167,349
434,168,348
435,170,346
436,180,336
437,162,354
438,167,349
439,153,363
440,158,358
441,169,347
442,166,350
443,171,345
444,175,341
445,167,349
446,172,344
447,163,353
448,175,341
449,164,352
450,177,339
451,171,345
452,183,333
453,168,348
454,166,350
455,163,353
456,155,361
457,171,345
458,176,340
459,170,346
460,155,361
461,167,349
462,172,344
463,183,333
464,177,339
465,179,337
466,186,330
467,180,336
468,179,337
469,165,351
470,161,355
471,179,337
472,170,346
473,169,347
474,175,341
475,170,346
476,165,351
477,171,345
478,152,364
479,161,355
480,173,343
481,161,355
482,173,343
483,159,357
484,182,334
485,173,343
486,179,337
487,175,341
488,182,334
489,188,328
490,174,342
491,178,338
492,177,339
493,176,340
494,174,342
495,165,351
496,166,350
497,173,343
498,182,334
499,165,351
500,173,343
501,174,342
502,173,343
503,164,352
504,179,337
505,163,353
506,166,350
507,167,349
508,174,342
509,165,351
510,166,350
511,148,368
512,167,349
513,166,350
514,171,345
515,162,354
516,168,348
517,170,346
518,189,327
519,187,329
520,164,352
521,172,344
522,187,329
523,176,340
524,165,351
525,170,346
526,167,349
527,177,339
528,171,314
529,180,336
530,184,332
531,172,344
532,170,346
533,190,326
534,182,334
535,187,329
536,180,336
537,169,347
538,181,335
539,189,327
540,179,337
541,170,346
542,173,343
543,172,344
544,170,346
545,181,335
546,166,350
547,180,336
548,193,323
549,185,331
550,188,328
551,188,328
552,186,330
553,179,337
554,181,335
555,180,336
556,173,343
557,175,341
558,169,347
559,164,352
560,185,331
561,180,336
562,166,350
563,181,335
564,168,348
565,173,343
566,177,339
567,189,327
568,188,328
569,196,320
570,189,327
571,191,325
572,187,329
573,196,320
574,176,340
575,183,333
576,170,346
577,176,340
578,177,339
579,173,343
580,176,340
581,189,327
582,172,344
583,191,325
584,187,329
585,177,339
586,182,334
587,169,347
588,159,357
589,162,354
590,166,350
591,162,354
592,182,334
593,173,343
594,165,351
595,163,353
596,171,345
597,163,353
598,162,354
599,171,345
600,180,336
601,184,332
602,174,342
603,179,337
604,166,350
605,178,338
606,170,346
607,165,351
608,179,337
609,176,340
610,179,337
611,181,335
612,188,328
613,184,332
614,182,334
615,195,321
616,187,329
617,184,332
618,186,330
