Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
0,O,2.500,3.500,30.000,2
1,O,2.500,3.500,30.000,16
2,O,2.500,3.500,30.000,11
3,O,2.500,3.500,30.000,15
4,O,2.500,3.500,30.000,19
5,O,2.500,3.500,30.000,21
6,O,2.500,3.500,30.000,14
7,O,2.500,3.500,30.000,13
8,O,2.500,3.500,30.000,11
9,O,2.500,3.500,30.000,19
10,O,2.500,3.500,30.000,18
11,O,2.500,3.500,30.000,22
12,O,2.500,3.500,30.000,20
13,O,2.500,3.500,30.000,17
14,O,2.500,3.500,30.000,20
15,O,2.500,3.500,30.000,16
16,O,2.500,3.500,30.000,11
17,O,2.500,3.500,30.000,20
18,O,2.500,3.500,30.000,19
19,O,2.500,3.500,30.000,11
20,O,2.500,3.500,30.000,15
21,O,2.500,3.500,30.000,21
22,O,2.500,3.500,30.000,25
23,O,2.500,3.500,30.000,17
24,O,2.500,3.500,30.000,13
25,O,2.500,3.500,30.000,14
26,O,2.500,3.500,30.000,18
27,O,2.500,3.500,30.000,11
28,O,2.500,3.500,30.000,22
29,O,2.500,3.500,30.000,18
30,O,2.500,3.500,30.000,14
31,O,2.500,3.500,30.000,14
32,O,2.500,3.500,30.000,18
33,O,2.500,3.500,30.000,16
34,O,2.500,3.500,30.000,11
35,O,2.500,3.500,30.000,15
36,O,2.500,3.500,30.000,16
37,O,2.500,3.500,30.000,17
38,O,2.500,3.500,30.000,19
39,O,2.500,3.500,30.000,14
40,O,2.500,3.500,30.000,20
41,O,2.500,3.500,30.000,16
42,O,2.500,3.500,30.000,17
43,O,2.500,3.500,30.000,15
44,O,2.500,3.500,30.000,22
45,O,2.500,3.500,30.000,16
46,O,2.500,3.500,30.000,19
47,O,2.500,3.500,30.000,19
48,O,2.500,3.500,30.000,23
49,O,2.500,3.500,30.000,17
50,O,2.500,3.500,30.000,20
51,O,2.500,3.500,30.000,18
52,O,2.500,3.500,30.000,19
53,O,2.500,3.500,30.000,18
54,O,2.500,3.500,30.000,23
55,O,2.500,3.500,30.000,21
56,O,2.500,3.500,30.000,20
57,O,2.500,3.500,30.000,11
58,O,2.500,3.500,30.000,18
59,O,2.500,3.500,30.000,21
60,O,2.500,3.500,30.000,21
61,O,2.500,3.500,30.000,28
62,O,2.500,3.500,30.000,24
63,O,2.500,3.500,30.000,19
64,O,2.500,3.500,30.000,24
65,O,2.500,3.500,30.000,25
66,O,2.500,3.500,30.000,18
67,O,2.500,3.500,30.000,25
68,O,2.500,3.500,30.000,24
69,O,2.500,3.500,30.000,12
70,O,2.500,3.500,30.000,20
71,O,2.500,3.500,30.000,15
72,O,2.500,3.500,30.000,24
73,O,2.500,3.500,30.000,15
74,O,2.500,3.500,30.000,25
75,O,2.500,3.500,30.000,15
76,O,2.500,3.500,30.000,26
77,O,2.500,3.500,30.000,24
78,O,2.500,3.500,30.000,13
79,O,2.500,3.500,30.000,19
80,O,2.500,3.500,30.000,22
81,O,2.500,3.500,30.000,18
82,O,2.500,3.500,30.000,24
83,O,2.500,3.500,30.000,19
84,O,2.500,3.500,30.000,27
85,O,2.500,3.500,30.000,23
86,O,2.500,3.500,30.000,24
87,O,2.500,3.500,30.000,21
88,O,2.500,3.500,30.000,18
89,O,2.500,3.500,30.000,24
90,O,2.500,3.500,30.000,20
91,O,2.500,3.500,30.000,21
92,O,2.500,3.500,30.000,21
93,O,2.500,3.500,30.000,20
94,O,2.500,3.500,30.000,23
95,O,2.500,3.500,30.000,25
96,O,2.500,3.500,30.000,25
97,O,2.500,3.500,30.000,21
98,O,2.500,3.500,30.000,24
99,O,2.500,3.500,30.000,27
100,O,2.500,3.500,30.000,32
101,O,2.500,3.500,30.000,24
102,O,2.500,3.500,30.000,25
103,O,2.500,3.500,30.000,25
104,O,2.500,3.500,30.000,20
105,O,2.500,3.500,30.000,24
106,O,2.500,3.500,30.000,17
107,O,2.500,3.500,30.000,22
108,O,2.500,3.500,30.000,28
109,O,2.500,3.500,30.000,26
110,O,2.500,3.500,30.000,27
111,O,2.500,3.500,30.000,26
112,O,2.500,3.500,30.000,23
113,O,2.500,3.500,30.000,22
114,O,2.500,3.500,30.000,22
115,O,2.500,3.500,30.000,18
116,O,2.500,3.500,30.000,23
117,O,2.500,3.500,30.000,28
118,O,2.500,3.500,30.000,26
119,O,2.500,3.500,30.000,21
120,O,2.500,3.500,30.000,26
121,O,2.500,3.500,30.000,25
122,O,2.500,3.500,30.000,22
123,O,2.500,3.500,30.000,19
124,O,2.500,3.500,30.000,27
125,O,2.500,3.500,30.000,16
126,O,2.500,3.500,30.000,23
127,O,2.500,3.500,30.000,22
128,O,2.500,3.500,30.000,27
129,O,2.500,3.500,30.000,21
130,O,2.500,3.500,30.000,27
131,O,2.500,3.500,30.000,20
132,O,2.500,3.500,30.000,26
133,O,2.500,3.500,30.000,30
134,O,2.500,3.500,30.000,24
