Frame, Order Parameter S
0,0.314
1,0.225
2,0.234
3,0.210
4,0.207
5,0.225
6,0.262
7,0.238
8,0.261
9,0.251
10,0.224
11,0.200
12,0.206
13,0.294
14,0.248
15,0.228
16,0.206
17,0.188
18,0.260
19,0.201
20,0.264
21,0.280
22,0.215
23,0.222
24,0.239
25,0.225
26,0.243
27,0.206
28,0.212
29,0.213
30,0.249
31,0.233
32,0.257
33,0.208
34,0.222
35,0.224
36,0.225
37,0.232
38,0.273
39,0.214
40,0.200
41,0.257
42,0.207
43,0.241
44,0.240
45,0.282
46,0.205
47,0.236
48,0.233
49,0.207
50,0.187
51,0.202
52,0.202
53,0.235
54,0.233
55,0.185
56,0.280
57,0.227
58,0.238
59,0.229
60,0.242
61,0.266
62,0.276
63,0.287
64,0.231
65,0.237
66,0.227
67,0.235
68,0.234
69,0.241
70,0.250
71,0.148
72,0.182
73,0.194
74,0.225
75,0.230
76,0.246
77,0.213
78,0.187
79,0.162
80,0.209
81,0.226
82,0.228
83,0.246
84,0.219
85,0.147
86,0.208
87,0.183
88,0.189
89,0.238
90,0.241
91,0.246
92,0.186
93,0.212
94,0.239
95,0.190
96,0.211
97,0.232
98,0.210
99,0.183
100,0.221
101,0.189
102,0.241
103,0.192
104,0.180
105,0.211
106,0.213
107,0.205
108,0.196
109,0.211
110,0.208
111,0.235
112,0.139
113,0.227
114,0.269
115,0.255
116,0.210
117,0.256
118,0.216
119,0.226
120,0.173
121,0.217
122,0.160
123,0.163
124,0.219
125,0.226
126,0.213
127,0.197
128,0.192
129,0.191
130,0.180
131,0.245
132,0.231
133,0.255
134,0.190
135,0.238
136,0.190
137,0.215
138,0.208
139,0.221
140,0.173
141,0.171
142,0.213
143,0.211
144,0.217
145,0.184
146,0.218
147,0.217
148,0.194
149,0.220
150,0.190
151,0.214
152,0.163
153,0.180
154,0.231
155,0.197
156,0.196
157,0.196
158,0.141
159,0.173
160,0.182
161,0.189
162,0.156
163,0.215
164,0.193
165,0.188
166,0.235
167,0.218
168,0.192
169,0.213
170,0.189
171,0.215
172,0.181
173,0.168
174,0.197
175,0.217
176,0.198
177,0.177
178,0.223
179,0.183
180,0.217
181,0.214
182,0.176
183,0.198
184,0.197
185,0.214
186,0.188
187,0.196
188,0.227
189,0.200
190,0.165
191,0.211
192,0.193
193,0.238
194,0.222
195,0.201
196,0.233
197,0.175
198,0.255
199,0.218
200,0.216
201,0.216
202,0.177
203,0.245
204,0.199
205,0.214
206,0.197
207,0.219
208,0.187
209,0.159
210,0.188
211,0.192
212,0.193
213,0.207
214,0.153
215,0.194
216,0.201
217,0.151
218,0.180
219,0.192
220,0.214
221,0.214
222,0.203
223,0.187
224,0.243
225,0.197
226,0.207
227,0.199
228,0.186
229,0.197
230,0.225
231,0.216
232,0.178
233,0.134
234,0.184
235,0.208
236,0.218
237,0.242
238,0.234
239,0.152
240,0.176
241,0.158
242,0.179
243,0.225
244,0.134
245,0.218
246,0.191
247,0.208
248,0.237
249,0.187
250,0.232
251,0.227
252,0.183
253,0.193
254,0.170
255,0.200
256,0.197
257,0.221
258,0.206
259,0.247
260,0.208
261,0.116
262,0.183
263,0.167
264,0.232
265,0.185
266,0.196
267,0.210
268,0.205
269,0.203
270,0.181
271,0.176
272,0.216
273,0.190
274,0.199
275,0.204
276,0.168
277,0.239
278,0.203
279,0.217
280,0.161
281,0.234
282,0.126
283,0.206
284,0.202
285,0.185
286,0.207
287,0.211
288,0.174
289,0.245
290,0.209
291,0.200
292,0.179
293,0.176
294,0.216
295,0.235
296,0.179
297,0.246
298,0.172
299,0.190
300,0.155
301,0.180
302,0.246
303,0.212
304,0.243
305,0.205
306,0.198
307,0.183
308,0.214
309,0.201
310,0.216
311,0.217
312,0.215
313,0.178
314,0.191
315,0.161
316,0.187
317,0.194
318,0.169
319,0.167
320,0.203
321,0.219
322,0.167
323,0.165
324,0.192
325,0.191
326,0.205
327,0.216
328,0.183
329,0.201
330,0.170
331,0.173
332,0.171
333,0.210
334,0.144
335,0.184
336,0.223
337,0.205
338,0.255
339,0.201
340,0.173
341,0.161
342,0.189
343,0.169
344,0.142
345,0.224
346,0.144
347,0.234
348,0.192
349,0.169
350,0.156
351,0.168
352,0.193
353,0.189
354,0.226
355,0.145
356,0.221
357,0.208
358,0.176
359,0.218
360,0.214
361,0.195
362,0.189
363,0.240
364,0.189
365,0.216
366,0.200
367,0.169
368,0.216
369,0.178
370,0.157
371,0.174
372,0.192
373,0.170
374,0.195
375,0.150
376,0.143
377,0.144
378,0.202
379,0.170
380,0.243
381,0.200
382,0.238
383,0.196
384,0.207
385,0.194
386,0.187
387,0.207
388,0.195
389,0.178
390,0.152
391,0.191
392,0.217
393,0.198
394,0.174
395,0.190
396,0.221
397,0.179
398,0.171
399,0.183
400,0.204
401,0.238
402,0.216
403,0.189
404,0.234
405,0.193
406,0.231
407,0.156
408,0.204
409,0.219
410,0.232
411,0.234
412,0.186
413,0.203
414,0.222
415,0.147
416,0.179
417,0.179
418,0.205
419,0.189
420,0.184
421,0.179
422,0.192
423,0.233
424,0.193
425,0.189
426,0.208
427,0.180
428,0.171
429,0.197
430,0.193
431,0.183
432,0.197
433,0.193
434,0.201
435,0.142
436,0.172
437,0.195
438,0.211
439,0.145
440,0.199
441,0.173
442,0.194
443,0.193
444,0.176
445,0.209
446,0.234
447,0.174
448,0.188
449,0.238
450,0.210
451,0.199
452,0.208
453,0.178
454,0.137
455,0.191
456,0.196
457,0.230
458,0.241
459,0.188
460,0.216
461,0.232
462,0.256
463,0.188
464,0.150
465,0.210
466,0.167
467,0.195
468,0.230
469,0.143
470,0.167
471,0.132
472,0.173
473,0.190
474,0.179
475,0.165
476,0.163
477,0.172
478,0.149
479,0.174
480,0.145
481,0.166
482,0.163
483,0.200
484,0.148
485,0.179
486,0.188
487,0.227
488,0.201
489,0.177
490,0.164
491,0.205
492,0.200
493,0.184
494,0.191
495,0.170
496,0.187
497,0.187
498,0.205
499,0.129
500,0.128
501,0.198
502,0.157
503,0.208
504,0.154
505,0.178
506,0.185
507,0.157
508,0.155
509,0.161
510,0.234
511,0.165
512,0.208
513,0.215
514,0.183
515,0.144
516,0.179
517,0.171
518,0.195
519,0.180
520,0.201
521,0.211
522,0.153
523,0.155
524,0.223
525,0.182
526,0.163
527,0.177
528,0.175
529,0.212
530,0.186
531,0.203
532,0.181
533,0.163
534,0.209
535,0.201
536,0.172
537,0.167
538,0.144
539,0.279
540,0.245
541,0.215
542,0.185
543,0.196
544,0.211
545,0.181
546,0.195
547,0.204
548,0.127
549,0.197
550,0.173
551,0.176
552,0.159
553,0.151
554,0.183
555,0.207
556,0.172
557,0.189
558,0.190
559,0.165
560,0.194
561,0.189
562,0.176
563,0.193
564,0.180
565,0.214
566,0.188
567,0.165
568,0.221
569,0.168
570,0.199
571,0.172
572,0.201
573,0.200
574,0.213
575,0.175
576,0.187
577,0.171
578,0.136
579,0.185
580,0.185
581,0.163
