Frame, Order Parameter S
0,0.352
1,0.355
2,0.375
3,0.399
4,0.301
5,0.372
6,0.315
7,0.368
8,0.331
9,0.338
10,0.359
11,0.343
12,0.321
13,0.372
14,0.386
15,0.286
16,0.297
17,0.371
18,0.358
19,0.327
20,0.296
21,0.301
22,0.319
23,0.272
24,0.291
25,0.255
26,0.274
27,0.317
28,0.300
29,0.266
30,0.360
31,0.291
32,0.274
33,0.270
34,0.353
35,0.312
36,0.271
37,0.288
38,0.299
39,0.289
40,0.300
41,0.303
42,0.279
43,0.250
44,0.269
45,0.267
46,0.314
47,0.287
48,0.232
49,0.319
50,0.241
51,0.294
52,0.261
53,0.275
54,0.308
55,0.322
56,0.241
57,0.244
58,0.301
59,0.274
60,0.232
61,0.283
62,0.271
63,0.293
64,0.277
65,0.280
66,0.239
67,0.252
68,0.270
69,0.249
70,0.231
71,0.288
72,0.322
73,0.279
74,0.306
75,0.228
76,0.236
77,0.233
78,0.293
79,0.277
80,0.267
81,0.228
82,0.284
83,0.198
84,0.282
85,0.276
86,0.360
87,0.221
88,0.221
89,0.263
90,0.245
91,0.295
92,0.255
93,0.240
94,0.333
95,0.223
96,0.233
97,0.294
98,0.198
99,0.201
100,0.209
101,0.278
102,0.175
103,0.265
104,0.246
105,0.237
106,0.242
107,0.291
108,0.249
109,0.226
110,0.260
111,0.251
112,0.226
113,0.293
114,0.296
115,0.226
116,0.280
117,0.293
118,0.280
119,0.314
120,0.271
121,0.288
122,0.211
123,0.317
124,0.303
125,0.237
126,0.255
127,0.242
128,0.237
129,0.299
130,0.194
131,0.202
132,0.253
133,0.239
134,0.212
135,0.241
136,0.221
137,0.269
138,0.320
139,0.253
140,0.285
141,0.262
142,0.251
143,0.263
144,0.287
145,0.237
146,0.210
147,0.338
148,0.275
149,0.288
150,0.204
151,0.263
152,0.200
153,0.255
154,0.246
155,0.303
156,0.245
157,0.246
158,0.223
159,0.283
160,0.243
161,0.284
162,0.244
163,0.265
164,0.256
165,0.246
166,0.291
167,0.235
168,0.261
169,0.214
170,0.243
171,0.318
172,0.251
173,0.232
174,0.295
175,0.257
176,0.250
177,0.303
178,0.238
179,0.213
180,0.238
181,0.212
182,0.244
183,0.258
184,0.239
185,0.276
186,0.208
187,0.250
188,0.236
189,0.214
190,0.278
191,0.168
192,0.259
193,0.226
194,0.259
195,0.292
196,0.253
197,0.270
198,0.241
199,0.192
200,0.287
201,0.252
202,0.285
203,0.236
204,0.248
205,0.222
206,0.288
207,0.267
208,0.220
209,0.241
210,0.252
211,0.244
212,0.233
213,0.291
214,0.253
215,0.334
216,0.231
217,0.209
218,0.241
219,0.306
220,0.242
221,0.250
222,0.299
223,0.176
224,0.229
225,0.259
226,0.266
227,0.254
228,0.238
229,0.220
230,0.279
231,0.230
232,0.248
233,0.270
234,0.246
235,0.206
236,0.209
237,0.236
238,0.232
239,0.250
240,0.184
241,0.261
242,0.275
243,0.239
244,0.215
245,0.278
246,0.307
247,0.264
248,0.304
249,0.221
250,0.267
251,0.311
252,0.230
253,0.271
254,0.272
255,0.283
256,0.256
257,0.261
258,0.240
259,0.201
260,0.264
261,0.282
262,0.294
263,0.311
264,0.233
265,0.265
266,0.250
267,0.264
268,0.286
269,0.219
270,0.263
271,0.280
272,0.271
273,0.313
274,0.286
275,0.220
276,0.251
277,0.249
278,0.190
279,0.240
280,0.203
281,0.282
282,0.223
283,0.271
284,0.191
285,0.239
286,0.285
287,0.244
288,0.255
289,0.181
290,0.226
291,0.258
292,0.226
293,0.265
294,0.178
295,0.259
296,0.226
297,0.234
298,0.205
299,0.273
300,0.286
301,0.243
302,0.243
303,0.264
304,0.251
