Frame, Order Parameter S
0,0.322
1,0.263
2,0.265
3,0.251
4,0.238
5,0.248
6,0.218
7,0.294
8,0.236
9,0.278
10,0.218
11,0.274
12,0.225
13,0.225
14,0.262
15,0.195
16,0.177
17,0.262
18,0.246
19,0.236
20,0.252
21,0.263
22,0.213
23,0.198
24,0.233
25,0.215
26,0.113
27,0.233
28,0.227
29,0.198
30,0.209
31,0.239
32,0.226
33,0.195
34,0.163
35,0.173
36,0.202
37,0.215
38,0.217
39,0.209
40,0.223
41,0.233
42,0.248
43,0.236
44,0.221
45,0.232
46,0.227
47,0.241
48,0.187
49,0.218
50,0.194
51,0.193
52,0.180
53,0.186
54,0.204
55,0.164
56,0.211
57,0.157
58,0.229
59,0.234
60,0.218
61,0.225
62,0.178
63,0.245
64,0.162
65,0.220
66,0.210
67,0.159
68,0.212
69,0.177
70,0.193
71,0.257
72,0.150
73,0.224
74,0.179
75,0.213
76,0.218
77,0.188
78,0.219
79,0.180
80,0.168
81,0.228
82,0.229
83,0.150
84,0.282
85,0.235
86,0.195
87,0.171
88,0.210
89,0.257
90,0.183
91,0.213
92,0.214
93,0.154
94,0.212
95,0.158
96,0.163
97,0.210
98,0.224
99,0.219
100,0.172
101,0.201
102,0.167
103,0.208
104,0.195
105,0.185
106,0.221
107,0.215
108,0.233
109,0.223
110,0.212
111,0.208
112,0.245
113,0.201
114,0.221
115,0.235
116,0.190
117,0.215
118,0.213
119,0.184
120,0.207
121,0.169
122,0.164
123,0.215
124,0.175
125,0.166
126,0.154
127,0.192
128,0.240
129,0.228
130,0.173
131,0.227
132,0.225
133,0.187
134,0.144
135,0.171
136,0.144
137,0.165
138,0.232
139,0.216
140,0.125
141,0.190
142,0.201
143,0.203
144,0.218
145,0.150
146,0.154
147,0.210
148,0.175
149,0.209
150,0.174
151,0.182
152,0.179
153,0.253
154,0.232
155,0.224
156,0.185
157,0.183
158,0.163
159,0.199
160,0.247
161,0.183
162,0.250
163,0.223
164,0.250
165,0.229
166,0.193
167,0.197
168,0.125
169,0.193
170,0.132
171,0.222
172,0.135
173,0.210
174,0.222
175,0.214
176,0.190
177,0.233
178,0.218
179,0.167
180,0.235
181,0.174
182,0.169
183,0.130
184,0.231
185,0.172
186,0.207
187,0.235
188,0.189
189,0.171
190,0.218
191,0.200
192,0.214
193,0.129
194,0.204
195,0.157
196,0.187
197,0.213
198,0.170
199,0.183
200,0.196
201,0.216
202,0.208
203,0.234
204,0.231
205,0.148
206,0.192
207,0.190
208,0.223
209,0.234
210,0.189
211,0.175
212,0.203
213,0.201
214,0.208
215,0.238
216,0.200
217,0.183
218,0.192
219,0.192
220,0.175
221,0.197
222,0.200
223,0.220
224,0.239
225,0.163
226,0.230
227,0.200
228,0.164
229,0.187
230,0.249
231,0.189
232,0.164
233,0.208
234,0.139
235,0.192
236,0.128
237,0.178
238,0.174
239,0.229
240,0.217
241,0.176
242,0.203
243,0.190
244,0.225
245,0.225
246,0.125
247,0.163
248,0.205
249,0.211
250,0.194
251,0.206
252,0.261
253,0.178
254,0.142
255,0.203
256,0.178
257,0.214
258,0.205
259,0.175
260,0.162
261,0.198
262,0.263
263,0.160
264,0.165
265,0.219
266,0.203
267,0.192
268,0.203
269,0.167
270,0.215
271,0.175
272,0.179
273,0.159
274,0.172
275,0.186
276,0.147
277,0.160
278,0.231
279,0.171
280,0.166
281,0.211
282,0.198
283,0.161
284,0.190
285,0.154
286,0.190
287,0.156
288,0.201
289,0.163
290,0.202
291,0.166
292,0.227
293,0.163
294,0.239
295,0.189
296,0.214
297,0.182
298,0.163
299,0.182
300,0.188
301,0.229
302,0.182
303,0.186
304,0.166
305,0.211
306,0.152
307,0.171
308,0.202
309,0.202
310,0.218
311,0.155
312,0.173
313,0.230
314,0.105
315,0.165
316,0.233
317,0.214
318,0.170
319,0.169
320,0.179
321,0.172
322,0.145
323,0.136
324,0.200
325,0.186
326,0.162
327,0.134
328,0.199
329,0.201
330,0.196
331,0.171
332,0.175
333,0.166
334,0.150
335,0.149
336,0.229
337,0.177
338,0.161
339,0.192
340,0.150
341,0.175
342,0.151
343,0.175
344,0.203
345,0.155
346,0.175
347,0.186
348,0.165
349,0.192
350,0.173
351,0.166
352,0.162
353,0.215
354,0.172
355,0.214
356,0.177
357,0.239
358,0.182
359,0.176
360,0.219
361,0.221
362,0.229
363,0.160
364,0.229
365,0.186
366,0.128
367,0.202
368,0.202
369,0.179
370,0.207
371,0.232
372,0.253
373,0.185
374,0.161
375,0.213
376,0.168
377,0.231
378,0.170
379,0.177
380,0.167
381,0.190
382,0.156
383,0.203
384,0.199
385,0.192
386,0.179
387,0.166
388,0.137
389,0.185
390,0.181
391,0.193
392,0.228
393,0.210
394,0.171
395,0.179
396,0.162
397,0.162
398,0.111
399,0.155
400,0.206
401,0.225
402,0.175
403,0.177
404,0.153
405,0.243
406,0.202
407,0.179
408,0.137
409,0.198
410,0.170
411,0.168
412,0.171
413,0.145
414,0.192
415,0.214
416,0.194
417,0.184
418,0.170
419,0.214
420,0.176
421,0.186
422,0.140
423,0.188
424,0.164
425,0.148
426,0.199
427,0.193
428,0.151
429,0.127
430,0.193
431,0.150
432,0.158
433,0.177
434,0.213
435,0.195
436,0.133
437,0.211
438,0.163
439,0.210
440,0.123
441,0.243
442,0.154
443,0.210
444,0.171
445,0.196
446,0.188
447,0.224
448,0.148
449,0.160
450,0.192
451,0.190
452,0.198
453,0.173
454,0.133
455,0.162
456,0.162
457,0.172
458,0.161
459,0.205
460,0.208
461,0.174
462,0.206
463,0.201
464,0.120
465,0.159
466,0.176
467,0.194
468,0.249
469,0.150
470,0.175
471,0.169
472,0.174
473,0.201
474,0.105
475,0.117
476,0.185
477,0.177
478,0.169
479,0.231
480,0.244
481,0.180
482,0.166
483,0.193
484,0.212
485,0.197
486,0.202
487,0.213
488,0.173
489,0.235
490,0.194
491,0.233
492,0.186
493,0.203
494,0.174
495,0.141
496,0.180
497,0.214
498,0.200
499,0.228
500,0.148
501,0.148
502,0.215
503,0.187
504,0.147
505,0.152
506,0.144
507,0.188
508,0.160
509,0.263
510,0.195
511,0.195
512,0.193
513,0.162
514,0.165
515,0.125
516,0.157
517,0.219
518,0.212
519,0.188
520,0.205
521,0.230
522,0.200
523,0.159
524,0.186
525,0.175
526,0.195
527,0.164
528,0.144
529,0.163
530,0.158
531,0.181
532,0.211
533,0.203
534,0.176
535,0.200
536,0.212
537,0.188
538,0.198
539,0.146
540,0.166
541,0.224
542,0.176
543,0.187
544,0.164
545,0.190
546,0.179
547,0.204
548,0.148
549,0.181
550,0.130
551,0.202
552,0.181
553,0.219
554,0.178
555,0.155
556,0.171
557,0.202
558,0.195
559,0.191
560,0.142
561,0.175
562,0.199
563,0.176
564,0.238
565,0.184
566,0.207
567,0.195
568,0.194
569,0.197
570,0.181
571,0.179
572,0.239
573,0.130
574,0.187
575,0.183
576,0.183
577,0.173
578,0.171
579,0.159
580,0.223
581,0.184
582,0.204
583,0.152
584,0.201
585,0.165
586,0.162
587,0.217
588,0.160
589,0.199
590,0.193
591,0.211
592,0.210
593,0.179
594,0.230
595,0.232
596,0.221
597,0.178
598,0.182
599,0.184
600,0.197
601,0.154
602,0.193
603,0.184
604,0.197
605,0.193
606,0.165
607,0.183
608,0.196
609,0.165
610,0.206
611,0.219
612,0.178
613,0.178
614,0.220
615,0.144
616,0.189
617,0.150
618,0.207
619,0.207
620,0.230
621,0.160
622,0.186
623,0.205
624,0.185
625,0.211
626,0.143
627,0.151
628,0.227
629,0.251
630,0.204
631,0.215
632,0.159
633,0.245
634,0.177
635,0.200
636,0.138
637,0.181
638,0.152
639,0.115
640,0.160
641,0.181
642,0.201
643,0.141
644,0.133
645,0.137
646,0.204
647,0.151
648,0.183
649,0.236
650,0.179
651,0.179
652,0.149
653,0.194
654,0.146
655,0.206
656,0.185
657,0.192
658,0.177
659,0.192
660,0.165
661,0.152
662,0.211
663,0.160
664,0.174
665,0.173
666,0.157
667,0.203
668,0.177
669,0.183
670,0.210
671,0.184
672,0.223
673,0.151
674,0.175
675,0.167
676,0.202
677,0.162
678,0.204
679,0.189
680,0.203
681,0.186
682,0.193
683,0.182
684,0.186
685,0.213
686,0.188
687,0.176
688,0.225
689,0.175
690,0.167
691,0.207
692,0.139
693,0.146
694,0.188
695,0.156
696,0.203
697,0.092
698,0.145
699,0.186
700,0.169
701,0.162
702,0.235
703,0.183
704,0.123
705,0.152
706,0.219
707,0.255
708,0.101
709,0.198
710,0.223
711,0.170
712,0.176
713,0.177
714,0.225
715,0.186
716,0.150
717,0.212
718,0.181
719,0.163
720,0.164
721,0.171
722,0.230
723,0.183
724,0.210
725,0.163
726,0.187
727,0.205
728,0.236
729,0.206
730,0.206
731,0.172
732,0.172
733,0.184
734,0.217
735,0.147
736,0.181
737,0.162
738,0.149
739,0.170
740,0.184
741,0.224
742,0.146
743,0.188
744,0.220
745,0.172
746,0.143
747,0.156
748,0.202
749,0.144
750,0.188
751,0.176
752,0.184
753,0.183
754,0.234
755,0.174
756,0.209
757,0.224
758,0.117
759,0.241
760,0.180
761,0.213
762,0.156
763,0.137
764,0.235
765,0.225
766,0.178
767,0.229
768,0.218
769,0.202
770,0.197
771,0.209
772,0.232
773,0.196
774,0.206
775,0.218
776,0.163
777,0.229
778,0.183
779,0.262
780,0.213
781,0.184
782,0.148
783,0.204
784,0.186
785,0.159
786,0.141
787,0.212
788,0.207
789,0.165
790,0.186
791,0.180
792,0.133
793,0.183
794,0.207
795,0.195
796,0.167
797,0.250
798,0.159
799,0.193
800,0.208
801,0.194
802,0.187
803,0.124
804,0.151
805,0.229
806,0.167
807,0.134
808,0.207
809,0.169
810,0.183
811,0.168
812,0.161
813,0.201
814,0.192
815,0.200
816,0.210
817,0.206
