Frame, Order Parameter S
0,0.489
1,0.434
2,0.470
3,0.434
4,0.423
5,0.436
6,0.492
7,0.429
8,0.579
9,0.470
10,0.431
11,0.420
12,0.398
13,0.316
14,0.404
15,0.406
16,0.427
17,0.472
18,0.436
19,0.461
20,0.435
21,0.389
22,0.499
23,0.529
24,0.412
25,0.492
26,0.426
27,0.429
28,0.505
29,0.441
30,0.440
31,0.461
32,0.423
33,0.441
34,0.414
35,0.464
36,0.474
37,0.452
38,0.451
39,0.405
40,0.472
41,0.465
42,0.517
43,0.520
44,0.511
45,0.491
46,0.423
47,0.459
48,0.415
49,0.467
50,0.391
51,0.416
52,0.484
53,0.338
54,0.448
55,0.451
56,0.395
57,0.454
58,0.403
59,0.457
60,0.397
61,0.434
62,0.424
63,0.466
64,0.426
65,0.444
66,0.432
67,0.449
68,0.474
69,0.422
70,0.507
71,0.458
72,0.475
73,0.496
74,0.422
75,0.413
76,0.490
77,0.436
78,0.503
79,0.410
80,0.391
81,0.480
82,0.480
83,0.444
84,0.427
85,0.443
86,0.378
87,0.464
88,0.427
89,0.412
90,0.461
91,0.389
92,0.460
93,0.405
94,0.385
95,0.441
96,0.393
97,0.437
98,0.474
99,0.412
100,0.396
101,0.452
102,0.359
103,0.383
104,0.404
105,0.430
106,0.425
107,0.420
108,0.393
109,0.370
110,0.440
111,0.441
112,0.352
113,0.458
114,0.413
115,0.437
116,0.422
117,0.396
118,0.383
119,0.482
120,0.487
121,0.509
122,0.440
123,0.453
124,0.422
125,0.438
126,0.451
127,0.332
128,0.401
129,0.406
130,0.454
131,0.406
132,0.469
133,0.430
134,0.400
135,0.444
136,0.386
137,0.445
138,0.442
139,0.411
140,0.406
141,0.331
142,0.414
143,0.446
144,0.367
145,0.388
146,0.423
147,0.380
148,0.397
149,0.404
150,0.405
151,0.391
152,0.421
153,0.425
154,0.321
155,0.380
156,0.428
157,0.396
158,0.399
159,0.493
160,0.412
161,0.413
162,0.390
163,0.382
164,0.351
165,0.469
166,0.439
167,0.390
168,0.455
169,0.442
170,0.457
171,0.453
172,0.395
173,0.345
174,0.427
175,0.394
176,0.439
177,0.424
178,0.385
179,0.379
180,0.392
181,0.423
182,0.397
183,0.351
184,0.342
185,0.403
186,0.395
187,0.376
188,0.303
189,0.382
190,0.390
191,0.348
192,0.345
193,0.378
194,0.433
195,0.400
196,0.393
197,0.413
198,0.403
199,0.427
200,0.426
201,0.392
202,0.393
203,0.354
204,0.350
205,0.362
206,0.469
207,0.447
208,0.418
209,0.391
210,0.365
211,0.436
212,0.350
213,0.371
214,0.424
215,0.459
216,0.384
217,0.438
218,0.394
219,0.439
220,0.421
221,0.384
222,0.473
223,0.448
224,0.408
225,0.440
226,0.377
227,0.382
228,0.343
229,0.411
230,0.431
231,0.469
232,0.327
233,0.456
234,0.442
235,0.444
236,0.429
237,0.365
238,0.439
239,0.457
240,0.406
241,0.420
242,0.466
243,0.363
244,0.447
245,0.457
246,0.385
247,0.433
248,0.399
249,0.368
250,0.430
251,0.402
252,0.485
253,0.414
254,0.467
255,0.370
256,0.431
257,0.372
258,0.405
259,0.389
260,0.361
261,0.414
262,0.388
263,0.394
264,0.431
265,0.410
266,0.365
267,0.400
268,0.394
269,0.286
270,0.393
271,0.405
272,0.378
273,0.462
274,0.433
275,0.386
276,0.427
277,0.387
278,0.429
279,0.483
280,0.406
281,0.429
282,0.432
283,0.482
284,0.415
285,0.342
286,0.415
287,0.392
288,0.413
289,0.413
290,0.458
291,0.306
292,0.405
293,0.365
294,0.378
295,0.377
296,0.452
297,0.323
298,0.462
299,0.379
300,0.308
301,0.426
302,0.293
303,0.391
304,0.397
305,0.394
306,0.298
307,0.372
308,0.427
309,0.389
310,0.354
311,0.359
312,0.321
313,0.347
314,0.408
315,0.457
316,0.425
317,0.418
318,0.318
319,0.376
320,0.404
321,0.408
322,0.303
323,0.355
324,0.360
325,0.440
326,0.378
327,0.433
328,0.400
329,0.366
330,0.454
331,0.330
332,0.444
333,0.406
334,0.407
335,0.400
336,0.452
337,0.420
338,0.463
339,0.349
340,0.333
341,0.305
342,0.325
343,0.420
344,0.394
345,0.387
346,0.423
347,0.395
348,0.433
349,0.390
350,0.351
351,0.348
352,0.364
353,0.369
354,0.418
355,0.433
356,0.329
357,0.406
358,0.381
359,0.418
360,0.341
361,0.433
362,0.411
363,0.428
364,0.410
365,0.366
366,0.442
367,0.425
368,0.386
369,0.410
370,0.300
371,0.391
372,0.291
373,0.426
374,0.422
375,0.373
376,0.394
377,0.352
378,0.437
379,0.457
380,0.409
381,0.322
382,0.391
383,0.467
384,0.367
385,0.312
386,0.329
387,0.440
388,0.395
389,0.401
390,0.430
391,0.377
392,0.396
393,0.405
394,0.357
395,0.349
396,0.325
397,0.366
398,0.375
399,0.352
400,0.391
401,0.361
402,0.381
403,0.383
404,0.454
405,0.347
406,0.403
407,0.375
408,0.337
409,0.343
410,0.426
411,0.392
412,0.365
413,0.440
414,0.394
415,0.388
416,0.403
417,0.362
418,0.376
419,0.416
420,0.406
421,0.405
422,0.404
423,0.425
424,0.377
425,0.444
426,0.398
427,0.363
428,0.403
429,0.418
430,0.421
431,0.355
432,0.422
433,0.430
434,0.323
435,0.400
436,0.417
437,0.315
438,0.350
439,0.421
440,0.353
441,0.357
442,0.413
443,0.379
444,0.347
445,0.357
446,0.423
447,0.360
448,0.444
449,0.393
450,0.363
451,0.384
452,0.371
453,0.408
454,0.392
455,0.414
456,0.385
457,0.421
458,0.312
459,0.407
460,0.356
461,0.396
462,0.373
463,0.406
464,0.396
465,0.391
466,0.439
467,0.407
468,0.349
469,0.370
470,0.379
471,0.401
472,0.353
473,0.398
474,0.332
475,0.350
476,0.390
477,0.402
478,0.381
479,0.417
480,0.392
481,0.350
482,0.302
483,0.342
484,0.360
485,0.325
486,0.343
487,0.258
488,0.420
489,0.419
490,0.322
491,0.405
492,0.389
493,0.435
494,0.404
495,0.390
496,0.376
497,0.393
498,0.367
499,0.375
500,0.410
501,0.411
502,0.405
503,0.387
504,0.376
505,0.395
506,0.334
507,0.362
508,0.413
509,0.390
510,0.362
511,0.318
512,0.420
513,0.371
514,0.383
515,0.366
516,0.409
517,0.441
518,0.356
519,0.327
520,0.358
521,0.370
522,0.364
523,0.399
524,0.316
525,0.389
526,0.282
527,0.341
528,0.298
529,0.385
530,0.394
531,0.384
532,0.326
533,0.343
534,0.353
535,0.289
536,0.382
537,0.341
538,0.423
539,0.374
540,0.381
541,0.383
542,0.312
543,0.391
544,0.350
545,0.281
546,0.388
547,0.306
548,0.324
549,0.342
550,0.399
551,0.295
552,0.432
553,0.371
554,0.312
555,0.331
556,0.390
557,0.379
558,0.366
559,0.368
560,0.337
561,0.363
562,0.399
563,0.409
564,0.345
565,0.282
566,0.383
567,0.329
568,0.376
569,0.333
570,0.429
571,0.232
572,0.364
573,0.317
574,0.331
575,0.340
576,0.370
577,0.328
578,0.343
579,0.312
580,0.343
581,0.339
582,0.330
583,0.402
584,0.363
585,0.358
586,0.358
587,0.336
588,0.325
589,0.328
590,0.336
591,0.401
592,0.310
593,0.357
594,0.397
595,0.389
596,0.295
597,0.369
598,0.331
599,0.383
600,0.237
601,0.307
602,0.314
603,0.290
604,0.301
605,0.280
606,0.325
607,0.352
608,0.306
609,0.356
610,0.376
611,0.296
612,0.347
613,0.339
614,0.317
615,0.354
616,0.268
617,0.381
618,0.314
619,0.314
620,0.423
621,0.353
622,0.346
623,0.389
624,0.376
625,0.402
626,0.327
627,0.324
628,0.378
629,0.321
630,0.311
631,0.310
632,0.333
633,0.333
634,0.280
635,0.354
636,0.353
637,0.348
638,0.287
639,0.349
640,0.312
641,0.451
642,0.370
643,0.349
644,0.329
645,0.319
646,0.321
647,0.371
648,0.321
649,0.283
650,0.316
651,0.390
652,0.393
653,0.399
654,0.347
655,0.368
656,0.314
657,0.301
658,0.358
659,0.313
660,0.254
661,0.361
662,0.374
663,0.350
664,0.349
665,0.357
666,0.399
667,0.271
668,0.440
669,0.331
670,0.306
671,0.326
672,0.407
673,0.310
674,0.362
675,0.363
676,0.331
677,0.349
678,0.366
679,0.370
680,0.411
681,0.314
682,0.401
683,0.332
684,0.416
685,0.387
686,0.406
687,0.352
688,0.435
689,0.344
690,0.360
691,0.398
692,0.380
693,0.305
694,0.395
695,0.389
696,0.321
697,0.413
698,0.285
699,0.323
700,0.379
701,0.318
702,0.350
703,0.409
704,0.468
705,0.386
706,0.337
707,0.425
708,0.340
709,0.381
710,0.352
711,0.316
712,0.371
713,0.417
714,0.355
715,0.357
716,0.372
717,0.318
718,0.340
719,0.313
720,0.414
721,0.368
722,0.363
723,0.401
724,0.289
725,0.344
726,0.326
727,0.344
728,0.285
729,0.290
730,0.352
731,0.409
732,0.366
733,0.307
734,0.374
735,0.297
736,0.359
737,0.315
738,0.332
739,0.353
740,0.332
741,0.401
742,0.358
743,0.355
744,0.317
745,0.366
746,0.365
747,0.389
748,0.304
749,0.409
750,0.301
751,0.255
752,0.418
753,0.332
754,0.312
755,0.335
756,0.393
757,0.380
758,0.423
759,0.319
760,0.351
761,0.360
762,0.335
763,0.399
764,0.392
765,0.353
766,0.359
767,0.338
768,0.336
769,0.332
770,0.359
771,0.308
772,0.258
773,0.331
774,0.378
775,0.304
776,0.338
777,0.307
778,0.290
779,0.391
780,0.299
781,0.305
782,0.357
783,0.303
784,0.303
785,0.389
