plastic,time,index,BP_xtb_geom energy [kJ/mol]
N66,20,0,-191970788.32442623
N66,20,1,-191970840.23579687
N66,20,2,-191970795.42034763
N66,20,3,-191970696.34473038
N66,20,4,-191970947.860461
N66,20,5,-191970511.63561293
N66,20,6,-191970705.17681596
N66,20,7,-191970527.7080547
N66,20,8,-191970722.87192473
N66,20,9,-191970719.1802585
N66,20,10,-191970832.47861266
N66,20,11,-191970489.05898649
N66,20,12,-191970975.96721372
N66,20,13,-191970892.42256826
N66,20,14,-191970927.3201073
N66,20,15,-191970954.10727686
N66,20,16,-191970525.62469894
N66,20,17,-191970858.9861497
N66,20,18,-191970743.85898203
N66,20,19,-191970827.7933265
N66,20,20,-191970620.74377185
N66,20,21,-191970710.1974517
N66,20,22,-191970923.89130008
N66,20,23,-191970709.61267716
N66,20,24,-191970570.24517667
N66,20,25,-191970499.1753973
N66,20,26,-191970859.35271034
N66,20,27,-191970792.7801045
N66,20,28,-191970702.07797417
N66,20,29,-191971133.75080878
N66,20,30,-191970481.5781463
N66,20,31,-191970520.43269745
N66,20,32,-191970615.46322992
N66,20,33,-191970860.50503433
N66,20,34,-191970805.05115262
N66,20,35,-191970815.98013216
N66,20,36,-191970697.41081953
N66,20,37,-191970776.12734222
N66,20,38,-191970937.9405653
N66,20,39,-191970670.05533418
N66,20,40,-191970713.0366966
N66,20,41,-191970470.44356385
N66,20,42,-191970904.96849188
N66,20,43,-191971111.98661032
N66,20,44,-191970741.8371717
N66,20,45,-191970681.42144904
N66,20,46,-191970632.14934108
N66,20,47,-191970477.6218412
N66,20,48,-191970739.81800467
N66,20,49,-191971014.58781764
