plastic,time,index,BP_xtb_geom energy [kJ/mol]
PE,50,0,-111424596.34077802
PE,50,1,-111424363.49445507
PE,50,2,-111424804.28386
PE,50,3,-111424617.61299881
PE,50,4,-111424444.22071713
PE,50,5,-111424547.17472725
PE,50,6,-111424989.5386508
PE,50,7,-111424803.18503143
PE,50,8,-111424442.93373749
PE,50,9,-111424411.61556657
PE,50,10,-111424409.53936835
PE,50,11,-111424700.28292567
PE,50,12,-111424305.41398507
PE,50,13,-111424705.00587477
PE,50,14,-111424248.9048617
PE,50,15,-111424221.7048568
PE,50,16,-111424479.5251913
PE,50,17,-111424689.16593003
PE,50,18,-111424173.77858903
PE,50,19,-111424413.64271286
PE,50,20,-111424800.74550845
PE,50,21,-111424155.88312726
PE,50,22,-111424450.8386263
PE,50,23,-111424842.11077899
PE,50,24,-111424748.86495689
PE,50,25,-111424640.45555812
PE,50,26,-111424250.05830818
PE,50,27,-111424586.62119444
PE,50,28,-111425056.95237674
PE,50,29,-111424398.14967437
PE,50,30,-111424444.88626397
PE,50,31,-111424754.19016689
PE,50,32,-111424492.16778292
PE,50,33,-111424429.58900698
PE,50,34,-111424736.22828855
PE,50,35,-111424404.08593309
PE,50,36,-111424284.91953914
PE,50,37,-111424456.76416643
PE,50,38,-111424517.21928377
PE,50,39,-111424716.10684308
PE,50,40,-111424630.23075919
PE,50,41,-111424131.30187623
PE,50,42,-111424485.51901871
PE,50,43,-111424305.46102679
PE,50,44,-111424450.01190515
PE,50,45,-111424577.09075135
PE,50,46,-111424377.62616971
PE,50,47,-111424519.74712998
PE,50,48,-111424586.64745013
PE,50,49,-111424478.4218965
