plastic,time,index,BP_xtb_geom energy [kJ/mol]
PP,20,0,-120718636.85360144
PP,20,1,-120718557.50222026
PP,20,2,-120718425.56925042
PP,20,3,-120718615.66364847
PP,20,4,-120718435.78446516
PP,20,5,-120718525.94273217
PP,20,6,-120718525.76702589
PP,20,7,-120718526.63118204
PP,20,8,-120718517.69375941
PP,20,9,-120718652.26347965
PP,20,10,-120718417.55167492
PP,20,11,-120718509.04752572
PP,20,12,-120718535.60460298
PP,20,13,-120718511.13133264
PP,20,14,-120718530.91674364
PP,20,15,-120718618.93990465
PP,20,16,-120718553.90056226
PP,20,17,-120718518.00666353
PP,20,18,-120718595.60494497
PP,20,19,-120718570.77950537
PP,20,20,-120718587.0684504
PP,20,21,-120718554.8676042
PP,20,22,-120718597.42404513
PP,20,23,-120718527.10224092
PP,20,24,-120718457.44447675
PP,20,25,-120718479.71734616
PP,20,26,-120718691.76249851
PP,20,27,-120718564.35684767
PP,20,28,-120718562.03579201
PP,20,29,-120718500.49411708
PP,20,30,-120718622.66269109
PP,20,31,-120718551.3949198
PP,20,32,-120718540.23489982
PP,20,33,-120718599.65310146
PP,20,34,-120718619.94302592
PP,20,35,-120718499.9745036
PP,20,36,-120718646.91660038
PP,20,37,-120718486.35302588
PP,20,38,-120718536.24465084
PP,20,39,-120718507.4064335
PP,20,40,-120718550.6502417
PP,20,41,-120718492.00131063
PP,20,42,-120718496.46900903
PP,20,43,-120718533.76059325
PP,20,44,-120718519.3194063
PP,20,45,-120718584.99617381
PP,20,46,-120718516.73827563
PP,20,47,-120718595.2635398
PP,20,48,-120718508.16694786
PP,20,49,-120718620.56817192
PP,20,50,-120718538.66704898
