plastic,time,index,BP_xtb_geom energy [kJ/mol]
PS,50,0,-195050981.20264512
PS,50,1,-195050988.72074774
PS,50,2,-195050950.84363723
PS,50,3,-195050950.610547
PS,50,4,-195050935.19816607
PS,50,5,-195051014.64435202
PS,50,6,-195050870.421917
PS,50,7,-195050961.03992698
PS,50,8,-195050921.65223423
PS,50,9,-195051137.75469863
PS,50,10,-195050842.3231482
PS,50,11,-195050898.97861528
PS,50,12,-195050842.6151538
PS,50,13,-195051023.730705
PS,50,14,-195051035.3745886
PS,50,15,-195050902.90706274
PS,50,16,-195051001.3201365
PS,50,17,-195051039.68394172
PS,50,18,-195050981.5866627
PS,50,19,-195050894.32182705
PS,50,20,-195050823.76724157
PS,50,21,-195050799.63088664
PS,50,22,-195051029.68516347
PS,50,23,-195050743.28890353
PS,50,24,-195051025.90014842
PS,50,25,-195050889.3284514
PS,50,26,-195050963.3689755
PS,50,27,-195051193.14068347
PS,50,28,-195050852.37071544
PS,50,29,-195050957.13175303
PS,50,30,-195050888.096725
PS,50,31,-195051013.09691432
PS,50,32,-195050844.5526166
PS,50,33,-195050955.52166876
PS,50,34,-195050958.11896968
PS,50,35,-195051014.88589227
PS,50,36,-195050931.2783048
PS,50,37,-195050999.18996245
PS,50,38,-195050952.13638547
PS,50,39,-195051010.1223588
PS,50,40,-195050983.76777992
PS,50,41,-195051118.74159586
PS,50,42,-195050865.15999722
PS,50,43,-195050948.01896256
PS,50,44,-195050861.3650659
PS,50,45,-195050960.42914364
PS,50,46,-195050819.32222787
PS,50,47,-195051117.78176793
PS,50,48,-195050902.10629302
PS,50,49,-195051029.52797872
