plastic, time, index, energy [kJ/mol]
N66, 50, 0, -3.1033264e+04
N66, 50, 1, -3.0986820e+04
N66, 50, 2, -3.0844951e+04
N66, 50, 3, -3.0745721e+04
N66, 50, 4, -3.0885242e+04
N66, 50, 5, -3.0587135e+04
N66, 50, 6, -3.0995082e+04
N66, 50, 7, -3.0924650e+04
N66, 50, 8, -3.0815609e+04
N66, 50, 9, -3.0959852e+04
N66, 50, 10, -3.0991391e+04
N66, 50, 11, -3.0832184e+04
N66, 50, 12, -3.1136551e+04
N66, 50, 13, -3.0712020e+04
N66, 50, 14, -3.1014104e+04
N66, 50, 15, -3.0604172e+04
N66, 50, 16, -3.0920408e+04
N66, 50, 17, -3.0898008e+04
N66, 50, 18, -3.0925627e+04
N66, 50, 19, -3.0782363e+04
N66, 50, 20, -3.1018455e+04
N66, 50, 21, -3.1117633e+04
N66, 50, 22, -3.0802770e+04
N66, 50, 23, -3.1047348e+04
N66, 50, 24, -3.1131613e+04
N66, 50, 25, -3.0850600e+04
N66, 50, 26, -3.0852125e+04
N66, 50, 27, -3.0918686e+04
N66, 50, 28, -3.1017441e+04
N66, 50, 29, -3.1115740e+04
N66, 50, 30, -3.0800529e+04
N66, 50, 31, -3.1091850e+04
N66, 50, 32, -3.0933590e+04
N66, 50, 33, -3.1097955e+04
N66, 50, 34, -3.0798477e+04
N66, 50, 35, -3.0913000e+04
N66, 50, 36, -3.1037980e+04
N66, 50, 37, -3.1104535e+04
N66, 50, 38, -3.0838953e+04
N66, 50, 39, -3.1017453e+04
N66, 50, 40, -3.1064486e+04
N66, 50, 41, -3.0844154e+04
N66, 50, 42, -3.0818473e+04
N66, 50, 43, -3.0851232e+04
N66, 50, 44, -3.0945021e+04
N66, 50, 45, -3.0841002e+04
N66, 50, 46, -3.0759877e+04
N66, 50, 47, -3.0948197e+04
N66, 50, 48, -3.1044318e+04
N66, 50, 49, -3.1028584e+04
N66, 50, 50, -3.0991996e+04
