plastic, epsilon, index, energy [kJ/mol]
N66, 4, 0, -3.0956318e+04
N66, 4, 1, -3.1069900e+04
N66, 4, 2, -3.0844896e+04
N66, 4, 3, -3.0857293e+04
N66, 4, 4, -3.0959027e+04
N66, 4, 5, -3.1107990e+04
N66, 4, 6, -3.0941990e+04
N66, 4, 7, -3.0869496e+04
N66, 4, 8, -3.0948387e+04
N66, 4, 9, -3.0885904e+04
N66, 4, 10, -3.0632359e+04
N66, 4, 11, -3.1043434e+04
N66, 4, 12, -3.0891502e+04
N66, 4, 13, -3.0760656e+04
N66, 4, 14, -3.0903420e+04
N66, 4, 15, -3.0754707e+04
N66, 4, 16, -3.0856904e+04
N66, 4, 17, -3.0929041e+04
N66, 4, 18, -3.0755547e+04
N66, 4, 19, -3.0856760e+04
N66, 4, 20, -3.0656545e+04
N66, 4, 21, -3.0911803e+04
N66, 4, 22, -3.0808828e+04
N66, 4, 23, -3.0839254e+04
N66, 4, 24, -3.0970160e+04
N66, 4, 25, -3.0967836e+04
N66, 4, 26, -3.0737039e+04
N66, 4, 27, -3.0960766e+04
N66, 4, 28, -3.0953758e+04
N66, 4, 29, -3.0751529e+04
N66, 4, 30, -3.1013422e+04
N66, 4, 31, -3.0947695e+04
N66, 4, 32, -3.0829789e+04
N66, 4, 33, -3.1031029e+04
N66, 4, 34, -3.0967205e+04
N66, 4, 35, -3.0887043e+04
N66, 4, 36, -3.1048805e+04
N66, 4, 37, -3.1030000e+04
N66, 4, 38, -3.0815119e+04
N66, 4, 39, -3.1082096e+04
N66, 4, 40, -3.0736096e+04
N66, 4, 41, -3.0830127e+04
N66, 4, 42, -3.0807598e+04
N66, 4, 43, -3.1037324e+04
N66, 4, 44, -3.0939508e+04
N66, 4, 45, -3.1171205e+04
N66, 4, 46, -3.0941510e+04
N66, 4, 47, -3.1009865e+04
N66, 4, 48, -3.0886012e+04
N66, 4, 49, -3.0857566e+04
N66, 4, 50, -3.1064865e+04
