plastic, time, index, energy [kJ/mol]
PE, 50, 0, -2.5838171e+03
PE, 50, 1, -2.2680610e+03
PE, 50, 2, -2.8014165e+03
PE, 50, 3, -2.5754429e+03
PE, 50, 4, -2.3997512e+03
PE, 50, 5, -2.4783655e+03
PE, 50, 6, -3.0984343e+03
PE, 50, 7, -2.7810828e+03
PE, 50, 8, -2.3700327e+03
PE, 50, 9, -2.3172751e+03
PE, 50, 10, -2.3578650e+03
PE, 50, 11, -2.7102617e+03
PE, 50, 12, -2.1879285e+03
PE, 50, 13, -2.7105310e+03
PE, 50, 14, -2.1267783e+03
PE, 50, 15, -2.1268269e+03
PE, 50, 16, -2.4330325e+03
PE, 50, 17, -2.6841296e+03
PE, 50, 18, -2.0856604e+03
PE, 50, 19, -2.3326035e+03
PE, 50, 20, -2.8392004e+03
PE, 50, 21, -1.9638944e+03
PE, 50, 22, -2.3342197e+03
PE, 50, 23, -2.8948418e+03
PE, 50, 24, -2.7275405e+03
PE, 50, 25, -2.6093975e+03
PE, 50, 26, -2.2032009e+03
PE, 50, 27, -2.5025415e+03
PE, 50, 28, -3.1028752e+03
PE, 50, 29, -2.2894165e+03
PE, 50, 30, -2.3656553e+03
PE, 50, 31, -2.7485867e+03
PE, 50, 32, -2.5016804e+03
PE, 50, 33, -2.3633357e+03
PE, 50, 34, -2.6765598e+03
PE, 50, 35, -2.3346978e+03
PE, 50, 36, -2.2238015e+03
PE, 50, 37, -2.3995000e+03
PE, 50, 38, -2.4527307e+03
PE, 50, 39, -2.6496597e+03
PE, 50, 40, -2.5125310e+03
PE, 50, 41, -2.0644255e+03
PE, 50, 42, -2.3455347e+03
PE, 50, 43, -2.2117800e+03
PE, 50, 44, -2.3699490e+03
PE, 50, 45, -2.5518599e+03
PE, 50, 46, -2.3281416e+03
PE, 50, 47, -2.4558840e+03
PE, 50, 48, -2.5056501e+03
PE, 50, 49, -2.3985146e+03
