plastic, time, index, energy [kJ/mol]
PP, 50, 0, -1.5356414e+04
PP, 50, 1, -1.5441532e+04
PP, 50, 2, -1.5443757e+04
PP, 50, 3, -1.5362972e+04
PP, 50, 4, -1.5391085e+04
PP, 50, 5, -1.5448708e+04
PP, 50, 6, -1.5478731e+04
PP, 50, 7, -1.5401218e+04
PP, 50, 8, -1.5357721e+04
PP, 50, 9, -1.5434939e+04
PP, 50, 10, -1.5570500e+04
PP, 50, 11, -1.5455270e+04
PP, 50, 12, -1.5443594e+04
PP, 50, 13, -1.5380367e+04
PP, 50, 14, -1.5396539e+04
PP, 50, 15, -1.5390025e+04
PP, 50, 16, -1.5445149e+04
PP, 50, 17, -1.5496493e+04
PP, 50, 18, -1.5456093e+04
PP, 50, 19, -1.5456672e+04
PP, 50, 20, -1.5338126e+04
PP, 50, 21, -1.5451868e+04
PP, 50, 22, -1.5420056e+04
PP, 50, 23, -1.5455758e+04
PP, 50, 24, -1.5466205e+04
PP, 50, 25, -1.5537372e+04
PP, 50, 26, -1.5412104e+04
PP, 50, 27, -1.5478932e+04
PP, 50, 28, -1.5435060e+04
PP, 50, 29, -1.5485257e+04
PP, 50, 30, -1.5461773e+04
PP, 50, 31, -1.5388226e+04
PP, 50, 32, -1.5411614e+04
PP, 50, 33, -1.5499305e+04
PP, 50, 34, -1.5418674e+04
PP, 50, 35, -1.5535562e+04
PP, 50, 36, -1.5473808e+04
PP, 50, 37, -1.5496624e+04
PP, 50, 38, -1.5439577e+04
PP, 50, 39, -1.5345615e+04
PP, 50, 40, -1.5373837e+04
PP, 50, 41, -1.5465916e+04
PP, 50, 42, -1.5469556e+04
PP, 50, 43, -1.5404225e+04
PP, 50, 44, -1.5449560e+04
PP, 50, 45, -1.5466784e+04
PP, 50, 46, -1.5458795e+04
PP, 50, 47, -1.5488998e+04
PP, 50, 48, -1.5487540e+04
