plastic, time, index, energy [kJ/mol]
PS, 50, 0, 8.1996943e+03
PS, 50, 1, 8.1629824e+03
PS, 50, 2, 8.1969346e+03
PS, 50, 3, 8.2489453e+03
PS, 50, 4, 8.2734111e+03
PS, 50, 5, 8.1984922e+03
PS, 50, 6, 8.2384062e+03
PS, 50, 7, 8.1970713e+03
PS, 50, 8, 8.2789463e+03
PS, 50, 9, 8.1477461e+03
PS, 50, 10, 8.2864844e+03
PS, 50, 11, 8.2533945e+03
PS, 50, 12, 8.2610107e+03
PS, 50, 13, 8.1932471e+03
PS, 50, 14, 8.2256738e+03
PS, 50, 15, 8.2956465e+03
PS, 50, 16, 8.2325557e+03
PS, 50, 17, 8.1984648e+03
PS, 50, 18, 8.2002559e+03
PS, 50, 19, 8.3493311e+03
PS, 50, 20, 8.3032373e+03
PS, 50, 21, 8.3012656e+03
PS, 50, 22, 8.1820493e+03
PS, 50, 23, 8.3293027e+03
PS, 50, 24, 8.1825024e+03
PS, 50, 25, 8.2170078e+03
PS, 50, 26, 8.1917031e+03
PS, 50, 27, 8.0713809e+03
PS, 50, 28, 8.2658955e+03
PS, 50, 29, 8.1628799e+03
PS, 50, 30, 8.2641484e+03
PS, 50, 31, 8.2027744e+03
PS, 50, 32, 8.2742559e+03
PS, 50, 33, 8.2347842e+03
PS, 50, 34, 8.1817803e+03
PS, 50, 35, 8.2450869e+03
PS, 50, 36, 8.2775830e+03
PS, 50, 37, 8.1790923e+03
PS, 50, 38, 8.1706802e+03
PS, 50, 39, 8.2103633e+03
PS, 50, 40, 8.2087842e+03
PS, 50, 41, 8.1310112e+03
PS, 50, 42, 8.3239570e+03
PS, 50, 43, 8.2802764e+03
PS, 50, 44, 8.2709805e+03
PS, 50, 45, 8.2141035e+03
PS, 50, 46, 8.2485459e+03
PS, 50, 47, 8.1285308e+03
PS, 50, 48, 8.2482031e+03
PS, 50, 49, 8.1386528e+03
