plastic, time, index, energy [kJ/mol]
N66, 50, 0, -13398136.1511467
N66, 50, 1, -13398129.313287506
N66, 50, 2, -13398159.677355027
N66, 50, 3, -13397939.529211301
N66, 50, 4, -13398050.413731495
N66, 50, 5, -13397966.307919117
N66, 50, 6, -13398129.644755783
N66, 50, 7, -13398125.432336383
N66, 50, 8, -13398053.705428556
N66, 50, 9, -13398057.244623607
N66, 50, 10, -13398106.873209527
N66, 50, 11, -13398057.067082427
N66, 50, 12, -13398189.740405144
N66, 50, 13, -13398077.160719125
N66, 50, 14, -13398124.006523207
N66, 50, 15, -13398033.004577467
N66, 50, 16, -13398120.185793398
N66, 50, 17, -13398128.572266404
N66, 50, 18, -13398133.943936493
N66, 50, 19, -13398036.163339125
N66, 50, 20, -13398206.268157922
N66, 50, 21, -13398194.236418288
N66, 50, 22, -13398023.89702612
N66, 50, 23, -13398173.136532092
N66, 50, 24, -13398135.770769699
N66, 50, 25, -13398171.16328549
N66, 50, 26, -13397949.573483238
N66, 50, 27, -13398098.916208487
N66, 50, 28, -13398235.871287491
N66, 50, 29, -13398237.987253183
N66, 50, 30, -13398143.664347116
N66, 50, 31, -13398251.226496486
N66, 50, 32, -13398155.080004536
N66, 50, 33, -13398240.066186244
N66, 50, 34, -13397977.454985565
N66, 50, 35, -13398008.391330067
N66, 50, 36, -13398204.648414288
N66, 50, 37, -13398217.609879412
N66, 50, 38, -13398222.498121915
N66, 50, 39, -13398305.01163633
N66, 50, 40, -13398182.320949161
N66, 50, 41, -13398037.104729647
N66, 50, 42, -13398144.993003588
N66, 50, 43, -13398002.632848484
N66, 50, 44, -13398222.124674255
N66, 50, 45, -13398101.72341894
N66, 50, 46, -13398062.49415068
N66, 50, 47, -13398114.610095866
N66, 50, 48, -13398216.83454238
N66, 50, 49, -13398276.048403589
N66, 50, 50, -13398287.463411415
