plastic, time, index, energy [kJ/mol]
PE, 20, 0, -8998715.158454249
PE, 20, 1, -8998951.141242638
PE, 20, 2, -8998865.875176432
PE, 20, 3, -8998991.71038761
PE, 20, 4, -8998742.755052576
PE, 20, 5, -8998950.436076801
PE, 20, 6, -8998913.930431344
PE, 20, 7, -8998962.91190951
PE, 20, 8, -8998905.398794828
PE, 20, 9, -8998952.540578777
PE, 20, 10, -8998801.253255729
PE, 20, 11, -8998907.265380522
PE, 20, 12, -8998955.53822368
PE, 20, 13, -8998842.092163416
PE, 20, 14, -8998907.240137523
PE, 20, 15, -8998711.533064716
PE, 20, 16, -8998861.430495672
PE, 20, 17, -8998760.548739024
PE, 20, 18, -8998901.706759902
PE, 20, 19, -8998854.943311289
PE, 20, 20, -8998814.305359
PE, 20, 21, -8998959.481893925
PE, 20, 22, -8998841.698322931
PE, 20, 23, -8998942.505491914
PE, 20, 24, -8998766.028659062
PE, 20, 25, -8998982.007830083
PE, 20, 26, -8998832.276017303
PE, 20, 27, -8998985.131627845
PE, 20, 28, -8998991.09779308
PE, 20, 29, -8998897.428951541
PE, 20, 30, -8999020.585387442
PE, 20, 31, -8998792.413341649
PE, 20, 32, -8998990.615403077
PE, 20, 33, -8999026.772497233
PE, 20, 34, -8998980.157089578
PE, 20, 35, -8998790.661958233
PE, 20, 36, -8998985.33126431
PE, 20, 37, -8998896.462692836
PE, 20, 38, -8998772.45903741
PE, 20, 39, -8998856.663986783
PE, 20, 40, -8998733.330629064
PE, 20, 41, -8999058.126226533
PE, 20, 42, -8998924.763797155
PE, 20, 43, -8998907.883508276
