plastic, time, index, energy [kJ/mol]
PP, 50, 0, -9756975.647413166
PP, 50, 1, -9757004.230663849
PP, 50, 2, -9756998.868288256
PP, 50, 3, -9756951.219472611
PP, 50, 4, -9757005.593700126
PP, 50, 5, -9756994.54345468
PP, 50, 6, -9756960.918962415
PP, 50, 7, -9756995.159816321
PP, 50, 8, -9756996.904218065
PP, 50, 9, -9757036.711640935
PP, 50, 10, -9757069.41287076
PP, 50, 11, -9757003.748546833
PP, 50, 12, -9757010.148137333
PP, 50, 13, -9757001.696290763
PP, 50, 14, -9756973.638980992
PP, 50, 15, -9757015.279050376
PP, 50, 16, -9757019.288988762
PP, 50, 17, -9757030.308928577
PP, 50, 18, -9757002.225175614
PP, 50, 19, -9757045.247898487
PP, 50, 20, -9756989.060096389
PP, 50, 21, -9756959.60797608
PP, 50, 22, -9756970.461109446
PP, 50, 23, -9757051.954107136
PP, 50, 24, -9757037.781036267
PP, 50, 25, -9757067.524878236
PP, 50, 26, -9757018.28766502
PP, 50, 27, -9756996.365030061
PP, 50, 28, -9756985.396856207
PP, 50, 29, -9757054.363363212
PP, 50, 30, -9757045.530771099
PP, 50, 31, -9756980.84563843
PP, 50, 32, -9757058.30575005
PP, 50, 33, -9757048.755620474
PP, 50, 34, -9756996.871694997
PP, 50, 35, -9757057.6210895
PP, 50, 36, -9757016.796443349
PP, 50, 37, -9757042.62938407
PP, 50, 38, -9756992.737086894
PP, 50, 39, -9757018.29424649
PP, 50, 40, -9757005.191830311
PP, 50, 41, -9756990.745407572
PP, 50, 42, -9756982.429764438
PP, 50, 43, -9756984.46546133
PP, 50, 44, -9757014.061018985
PP, 50, 45, -9756987.909799479
PP, 50, 46, -9756983.727056881
PP, 50, 47, -9757021.253673585
PP, 50, 48, -9757002.600309456
