plastic, time, index, energy [kJ/mol]
PS, 50, 0, -13400760.794313038
PS, 50, 1, -13400742.702892233
PS, 50, 2, -13400791.243154999
PS, 50, 3, -13400745.296181448
PS, 50, 4, -13400769.8748156
PS, 50, 5, -13400817.594261719
PS, 50, 6, -13400773.330989828
PS, 50, 7, -13400784.16537171
PS, 50, 8, -13400754.131241448
PS, 50, 9, -13400852.53411697
PS, 50, 10, -13400729.114391882
PS, 50, 11, -13400702.687001765
PS, 50, 12, -13400746.16473741
PS, 50, 13, -13400809.219344808
PS, 50, 14, -13400796.653027257
PS, 50, 15, -13400718.779457657
PS, 50, 16, -13400800.151249655
PS, 50, 17, -13400830.990352685
PS, 50, 18, -13400821.885662068
PS, 50, 19, -13400736.388653865
PS, 50, 20, -13400738.904729169
PS, 50, 21, -13400767.292180728
PS, 50, 22, -13400839.498675834
PS, 50, 23, -13400663.917042963
PS, 50, 24, -13400799.13075114
PS, 50, 25, -13400777.15500271
PS, 50, 26, -13400764.77966504
PS, 50, 27, -13400899.523019243
PS, 50, 28, -13400740.992998136
PS, 50, 29, -13400817.782801025
PS, 50, 30, -13400801.620807352
PS, 50, 31, -13400790.228308039
PS, 50, 32, -13400727.877556944
PS, 50, 33, -13400759.076610075
PS, 50, 34, -13400772.080038508
PS, 50, 35, -13400833.398136187
PS, 50, 36, -13400768.931556726
PS, 50, 37, -13400794.72699168
PS, 50, 38, -13400716.70605069
PS, 50, 39, -13400781.179337073
PS, 50, 40, -13400812.53530674
PS, 50, 41, -13400874.61357896
PS, 50, 42, -13400719.920726618
PS, 50, 43, -13400795.279630447
PS, 50, 44, -13400728.972396381
PS, 50, 45, -13400765.926962832
PS, 50, 46, -13400729.594427159
PS, 50, 47, -13400822.993303848
PS, 50, 48, -13400754.457358751
PS, 50, 49, -13400825.133187544
