plastic, time, index, energy [kJ/mol]
N66, 50, 0, -13399740.743331429
N66, 50, 1, -13399705.451633288
N66, 50, 2, -13399758.844061747
N66, 50, 3, -13399614.524697114
N66, 50, 4, -13399662.179938184
N66, 50, 5, -13399583.00836228
N66, 50, 6, -13399670.776596356
N66, 50, 7, -13399714.470521938
N66, 50, 8, -13399680.815123603
N66, 50, 9, -13399691.079004845
N66, 50, 10, -13399706.454436477
N66, 50, 11, -13399698.472520245
N66, 50, 12, -13399754.314135581
N66, 50, 13, -13399693.391857322
N66, 50, 14, -13399762.688830005
N66, 50, 15, -13399657.259712622
N66, 50, 16, -13399747.330947414
N66, 50, 17, -13399695.970075388
N66, 50, 18, -13399722.623828482
N66, 50, 19, -13399660.817896679
N66, 50, 20, -13399801.99388457
N66, 50, 21, -13399766.029565837
N66, 50, 22, -13399628.786596695
N66, 50, 23, -13399741.265742553
N66, 50, 24, -13399726.912273128
N66, 50, 25, -13399744.43467569
N66, 50, 26, -13399646.549792025
N66, 50, 27, -13399621.426806543
N66, 50, 28, -13399853.756569266
N66, 50, 29, -13399818.994764138
N66, 50, 30, -13399774.84831989
N66, 50, 31, -13399863.322632909
N66, 50, 32, -13399754.651561726
N66, 50, 33, -13399832.150603183
N66, 50, 34, -13399607.42827534
N66, 50, 35, -13399670.273318745
N66, 50, 36, -13399758.728861429
N66, 50, 37, -13399870.371345066
N66, 50, 38, -13399783.71640188
N66, 50, 39, -13399854.43241606
N66, 50, 40, -13399734.95008971
N66, 50, 41, -13399719.0306926
N66, 50, 42, -13399756.819173364
N66, 50, 43, -13399660.74481863
N66, 50, 44, -13399844.423840145
N66, 50, 45, -13399732.776562462
N66, 50, 46, -13399669.865563897
N66, 50, 47, -13399687.946326777
N66, 50, 48, -13399824.971274173
N66, 50, 49, -13399841.196277736
N66, 50, 50, -13399837.183575545
