plastic, time, index, energy [kJ/mol]
PE, 50, 0, -8999230.284913678
PE, 50, 1, -8999048.40769135
PE, 50, 2, -8999330.406549325
PE, 50, 3, -8999134.305814948
PE, 50, 4, -8999021.463929156
PE, 50, 5, -8999112.020116402
PE, 50, 6, -8999465.659882223
PE, 50, 7, -8999285.026213482
PE, 50, 8, -8999071.937876612
PE, 50, 9, -8998966.430622544
PE, 50, 10, -8999042.43894376
PE, 50, 11, -8999236.291205289
PE, 50, 12, -8998927.099791568
PE, 50, 13, -8999258.1020533
PE, 50, 14, -8998874.421231965
PE, 50, 15, -8998880.484410483
PE, 50, 16, -8999061.28787332
PE, 50, 17, -8999220.156495845
PE, 50, 18, -8998888.643445343
PE, 50, 19, -8998991.891806314
PE, 50, 20, -8999305.916238232
PE, 50, 21, -8998821.144579504
PE, 50, 22, -8999019.511208465
PE, 50, 23, -8999306.34772157
PE, 50, 24, -8999239.901199276
PE, 50, 25, -8999202.91290633
PE, 50, 26, -8998958.756308755
PE, 50, 27, -8999095.704369165
PE, 50, 28, -8999474.682179319
PE, 50, 29, -8998975.629557174
PE, 50, 30, -8998985.902286623
PE, 50, 31, -8999288.021711534
PE, 50, 32, -8999142.607754696
PE, 50, 33, -8999057.56933475
PE, 50, 34, -8999193.621158952
PE, 50, 35, -8999048.76410807
PE, 50, 36, -8998981.207515895
PE, 50, 37, -8999075.818801159
PE, 50, 38, -8999081.533226902
PE, 50, 39, -8999201.550481603
PE, 50, 40, -8999107.664179577
PE, 50, 41, -8998884.491525784
PE, 50, 42, -8999044.345948735
PE, 50, 43, -8998952.715364652
PE, 50, 44, -8998996.982069733
PE, 50, 45, -8999121.358619416
PE, 50, 46, -8999041.499828566
PE, 50, 47, -8999088.704674443
PE, 50, 48, -8999111.270370424
PE, 50, 49, -8999047.425822634
